Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,55.34,58.52,54.52,57.99,54.33,6725200.0
2014-05-15,,,,,,
2014-06-01,58.1,60.02,57.43,59.43,55.9,7764700.0
2014-07-01,59.72,60.84,58.23,58.35,54.88,6498400.0
2014-08-01,58.11,59.18,55.4,57.81,54.37,9005700.0
2014-09-01,57.76,58.54,54.78,55.66,52.35,6922600.0
2014-09-03,,,,,,
2014-10-01,55.64,60.05,51.86,59.82,56.48,8484900.0
2014-11-01,60.14,62.0,59.5,61.46,58.03,5625800.0
2014-11-28,,,,,,
2014-12-01,61.07,63.85,59.99,62.14,58.88,7275300.0
2015-01-01,62.64,65.07,60.92,61.37,58.15,5952000.0
2015-02-01,61.77,67.43,60.6,65.5,62.06,6620800.0
2015-02-27,,,,,,
2015-03-01,67.39,70.18,65.75,69.89,66.47,8150200.0
2015-04-01,70.01,70.25,66.17,66.51,63.26,6826200.0
2015-05-01,66.73,67.58,60.1,65.08,61.9,7932400.0
2015-05-21,,,,,,
2015-06-01,65.33,67.05,64.36,64.7,61.77,7705300.0
2015-07-01,64.76,70.5,64.52,69.86,66.7,8218200.0
2015-08-01,69.9,71.75,63.84,67.96,64.88,7495400.0
2015-09-01,66.88,70.95,65.07,69.61,66.46,9505300.0
2015-09-02,,,,,,
2015-10-01,69.75,78.28,68.31,77.34,74.12,6567300.0
2015-11-01,77.3,79.85,76.52,79.38,76.08,7573100.0
2015-11-27,,,,,,
2015-12-01,79.63,79.92,76.69,78.06,75.05,10883900.0
2016-01-01,76.82,81.28,73.19,81.18,78.05,11823900.0
2016-02-01,81.22,85.03,75.0,82.24,79.07,11981500.0
2016-02-29,,,,,,
2016-03-01,82.63,86.23,80.66,84.57,81.58,10049000.0
2016-04-01,84.22,85.38,80.66,81.03,78.17,7641700.0
2016-05-01,81.05,85.28,80.44,84.43,81.45,8239500.0
2016-05-23,,,,,,
2016-06-01,83.8,87.27,81.0,87.27,84.47,8080400.0
2016-07-01,87.06,89.79,86.34,89.25,86.39,5076400.0
2016-08-01,89.15,89.89,85.26,87.27,84.47,7412700.0
2016-09-01,87.5,89.1,85.0,85.55,82.81,6352600.0
2016-09-02,,,,,,
2016-10-01,85.71,86.03,79.0,81.02,78.67,7745900.0
2016-11-01,80.83,89.46,79.84,86.44,83.94,9027000.0
2016-11-29,,,,,,
2016-12-01,86.29,91.06,84.28,88.78,86.48,6386400.0
2017-01-01,88.92,91.48,88.17,89.78,87.46,5050500.0
2017-02-01,89.9,94.83,88.11,93.77,91.34,5299000.0
2017-02-28,,,,,,
2017-03-01,94.46,95.64,92.16,93.1,90.99,5679900.0
2017-04-01,93.15,98.02,91.5,96.92,94.72,4575400.0
2017-05-01,96.93,106.46,95.04,106.21,103.8,18638600.0
2017-05-22,,,,,,
2017-06-01,105.9,106.39,102.01,103.87,101.83,11975000.0
2017-07-01,104.41,107.74,102.4,107.32,105.21,6156100.0
2017-08-01,109.67,109.67,98.16,103.07,101.04,10264300.0
2017-09-01,103.29,103.53,100.78,102.79,100.77,6140500.0
2017-09-07,,,,,,
2017-10-01,102.71,111.02,102.44,110.13,108.29,5969900.0
2017-11-01,110.58,117.47,109.03,115.32,113.4,8336600.0
2017-11-29,,,,,,
2017-12-01,115.12,119.82,112.3,116.96,115.32,5390400.0
2018-01-01,117.32,127.31,115.48,124.66,122.91,5945500.0
2018-02-01,124.48,125.11,112.78,117.3,115.66,8478000.0
2018-02-28,,,,,,
2018-03-01,117.52,126.29,115.85,120.95,119.62,7425600.0
2018-04-01,120.52,124.5,117.64,119.48,118.17,4949000.0
2018-05-01,119.4,125.22,116.79,125.06,123.69,8000900.0
2018-05-22,,,,,,
2018-06-01,125.71,133.47,124.8,130.36,129.32,7549100.0
2018-07-01,129.88,139.74,129.59,134.7,133.63,6085600.0
2018-08-01,134.7,159.99,134.21,158.44,157.18,10209400.0
2018-09-01,158.7,163.68,157.3,160.08,158.81,9759600.0
2018-09-10,,,,,,
2018-10-01,160.97,162.08,144.31,149.83,148.98,11464700.0
2018-11-01,150.28,152.41,132.7,139.7,138.91,34952700.0
2018-11-30,,,,,,
2018-12-01,141.51,142.07,120.2,126.52,126.14,10281100.0
2019-01-01,124.55,133.83,120.99,133.55,133.15,9968600.0
2019-02-01,133.54,136.73,126.0,132.63,132.23,12047200.0
2019-02-28,,,,,,
2019-03-01,133.72,139.24,129.7,138.74,138.74,8872200.0
2019-04-01,139.34,148.14,138.65,148.14,148.14,6671600.0
2019-04-26,147.33,148.14,146.89,148.14,148.14,269907.0
