Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,15.96,16.39,15.93,16.35,16.35,11646600
2019-04-02,16.31,16.64,16.26,16.47,16.47,10761400
2019-04-03,16.65,16.86,16.28,16.43,16.43,13411500
2019-04-04,16.28,16.63,16.27,16.48,16.48,11828100
2019-04-05,16.51,16.63,16.4,16.59,16.59,13926600
2019-04-08,16.51,16.66,16.46,16.53,16.53,9339300
2019-04-09,16.41,16.46,16.19,16.26,16.26,10157400
2019-04-10,16.4,16.45,16.12,16.39,16.39,11412200
2019-04-11,16.5,16.63,16.35,16.44,16.44,12791500
2019-04-12,16.78,16.98,16.49,16.88,16.88,12839600
2019-04-15,16.86,16.92,16.61,16.66,16.66,10759000
2019-04-16,16.7,17.03,16.56,16.98,16.98,10339600
2019-04-17,17.05,17.2,16.87,17.17,17.17,12269200
2019-04-18,16.9,17.02,16.56,16.79,16.79,19536500
2019-04-22,16.7,17.05,16.6,16.99,16.99,14575000
2019-04-23,16.9,17.22,16.66,17.18,17.18,16984700
2019-04-24,17.05,17.22,16.87,17.13,17.13,9471600
2019-04-25,17.03,17.3,16.89,17.14,17.14,9090200
