Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,63.99,65.88,61.43,65.52,45.66,24652200.0
2014-05-15,,,,,,
2014-06-01,65.73,72.78,65.17,72.64,50.99,26007400.0
2014-07-01,72.73,75.4,70.1,71.49,50.18,44319500.0
2014-08-01,71.37,76.73,70.91,76.42,53.64,22003000.0
2014-08-14,,,,,,
2014-09-01,76.54,81.27,76.47,78.78,55.68,32921900.0
2014-10-01,78.88,79.88,65.25,79.15,55.94,59093600.0
2014-11-01,79.04,84.21,66.74,69.44,49.08,32040900.0
2014-11-13,,,,,,
2014-11-26,,,,,,
2014-12-01,69.07,73.12,66.22,70.32,62.21,33550300.0
2015-01-01,70.62,71.26,61.34,61.47,54.38,37633300.0
2015-02-01,61.42,66.66,60.21,64.96,57.47,22024800.0
2015-02-12,,,,,,
2015-03-01,65.19,66.24,57.49,58.29,51.97,30944400.0
2015-04-01,58.27,60.8,57.1,58.8,52.43,33668400.0
2015-05-01,59.11,60.73,57.77,59.66,53.2,22347000.0
2015-05-14,,,,,,
2015-06-01,60.07,60.09,55.24,56.21,50.55,28330100.0
2015-07-01,56.72,57.35,50.42,53.05,47.71,33363900.0
2015-08-01,52.74,54.45,44.95,49.59,44.6,33550300.0
2015-08-13,,,,,,
2015-09-01,48.27,53.28,46.76,50.0,45.41,40441900.0
2015-10-01,49.98,67.27,48.73,67.12,60.96,82422200.0
2015-11-01,67.0,67.49,65.29,66.47,60.37,33752000.0
2015-11-12,,,,,,
2015-12-01,66.77,70.28,66.61,69.35,63.47,28598300.0
2016-01-01,68.03,69.18,63.64,66.99,61.31,30175600.0
2016-02-01,66.4,68.42,62.33,67.74,62.0,46917700.0
2016-02-11,,,,,,
2016-03-01,68.22,73.19,67.71,72.81,67.19,25886100.0
2016-04-01,72.74,73.59,69.54,69.94,64.54,19027100.0
2016-05-01,70.32,73.14,67.32,72.93,67.3,18290100.0
2016-05-12,,,,,,
2016-06-01,72.83,75.17,70.98,73.25,68.1,24614500.0
2016-07-01,73.0,77.85,71.51,75.71,70.39,18974300.0
2016-08-01,75.62,77.63,66.88,69.26,64.39,37933700.0
2016-08-11,,,,,,
2016-09-01,69.56,71.16,68.43,69.71,65.3,29154500.0
2016-10-01,69.95,75.5,69.75,75.11,70.36,73347900.0
2016-11-01,75.04,83.23,73.3,79.84,74.79,37616900.0
2016-11-10,,,,,,
2016-12-01,79.69,81.69,74.66,78.68,74.23,36264300.0
2017-01-01,78.97,87.96,77.86,85.11,80.3,27256800.0
2017-02-01,85.54,90.88,84.9,90.12,85.02,21348000.0
2017-02-13,,,,,,
2017-03-01,90.66,96.91,89.52,95.07,90.26,21337400.0
2017-04-01,95.34,104.22,93.61,98.22,93.25,25550400.0
2017-05-01,98.71,105.67,97.47,104.0,98.73,24107900.0
2017-05-11,,,,,,
2017-06-01,104.0,109.59,91.09,91.51,87.34,31752800.0
2017-07-01,92.3,101.75,90.69,92.63,88.41,21134600.0
2017-08-01,92.85,94.17,87.93,93.69,89.43,24578400.0
2017-08-11,,,,,,
2017-09-01,94.1,106.09,92.53,106.0,101.86,25549000.0
2017-10-01,105.54,109.78,101.04,108.89,104.63,29639200.0
2017-11-01,110.0,110.01,98.91,102.24,98.24,38351800.0
2017-11-14,,,,,,
2017-12-01,101.26,114.43,99.72,105.07,101.55,26345700.0
2018-01-01,105.76,121.65,104.71,109.8,106.12,30678400.0
2018-02-01,109.27,115.61,96.12,113.31,109.52,33083400.0
2018-02-14,,,,,,
2018-03-01,112.92,123.96,105.05,109.01,105.96,31911200.0
2018-04-01,108.31,111.6,97.94,101.74,98.89,31687700.0
2018-05-01,101.65,115.33,100.39,113.23,110.06,26792300.0
2018-05-14,,,,,,
2018-06-01,114.51,118.56,99.84,102.53,100.34,30816100.0
2018-07-01,101.28,122.4,100.36,117.42,114.91,29743700.0
2018-08-01,117.76,119.7,108.36,116.21,113.73,30951800.0
2018-08-14,,,,,,
2018-09-01,117.3,119.3,99.58,101.71,100.18,35640100.0
2018-10-01,102.46,102.97,84.59,91.54,90.17,44606100.0
2018-11-01,91.95,98.89,90.25,98.56,97.08,37887800.0
2018-11-15,,,,,,
2018-12-01,100.46,101.64,80.65,89.49,88.87,36803100.0
2019-01-01,87.53,108.65,85.69,106.57,105.83,32359500.0
2019-02-01,106.94,117.45,103.45,115.49,114.69,36281700.0
2019-02-14,,,,,,
2019-03-01,116.64,124.68,112.41,119.41,119.41,30655600.0
2019-04-01,119.88,128.21,119.41,125.79,125.79,23330700.0
2019-04-26,124.29,125.88,123.29,125.79,125.79,1102187.0
