Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,20.07,20.21,19.96,20.04,20.04,23043800
2019-04-02,20.02,20.08,19.9,20.05,20.05,13659300
2019-04-03,20.07,20.09,19.81,19.89,19.89,11839900
2019-04-04,19.9,19.94,19.76,19.92,19.92,13201100
2019-04-05,19.9,20.07,19.84,20.05,20.05,9349800
2019-04-08,20.05,20.11,19.86,19.94,19.94,10194900
2019-04-09,19.81,19.92,19.67,19.89,19.89,9516200
2019-04-10,19.96,19.96,19.76,19.84,19.84,9980900
2019-04-11,19.82,19.95,19.75,19.92,19.92,6844300
2019-04-12,19.99,20.03,19.78,19.82,19.82,12234400
2019-04-15,19.81,19.84,19.69,19.79,19.79,8894000
2019-04-16,19.8,19.92,19.72,19.81,19.81,10665300
2019-04-17,19.87,19.87,19.68,19.69,19.69,11622600
2019-04-18,19.61,19.83,19.15,19.39,19.39,23450100
2019-04-22,19.58,20.1,19.52,20.03,20.03,20438700
2019-04-23,20.05,20.1,19.84,20.08,20.08,14768000
2019-04-24,20.02,20.12,19.95,20.08,20.08,12995800
2019-04-25,20.04,20.24,19.97,19.97,19.97,12873900
