Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,43.87,45.89,43.0,44.31,44.31,27678300
2014-06-01,44.38,53.67,43.8,52.01,52.01,52049000
2014-07-01,52.09,53.7,48.64,48.81,48.81,29548800
2014-08-01,48.99,52.51,48.99,52.4,52.4,18828900
2014-09-01,52.4,54.28,46.44,46.45,46.45,44330200
2014-10-01,46.39,56.87,43.27,55.91,55.91,62127500
2014-11-01,55.88,57.28,54.04,56.98,56.98,27598600
2014-12-01,56.64,68.71,55.86,66.58,66.58,48904000
2015-01-01,67.04,67.71,61.83,62.1,62.1,29934000
2015-02-01,62.21,68.41,60.83,67.11,67.11,21548300
2015-03-01,67.32,69.6,61.98,69.01,69.01,37441200
2015-04-01,69.01,75.4,67.67,68.11,68.11,38651500
2015-05-01,68.25,73.2,68.17,71.04,71.04,25892600
2015-06-01,71.44,73.76,65.96,66.21,66.21,39764700
2015-07-01,66.95,68.99,61.05,64.51,64.51,30584400
2015-08-01,65.58,65.8,55.27,60.0,60.0,34362000
2015-09-01,59.83,62.96,56.68,59.32,59.32,48879800
2015-10-01,59.55,60.59,55.9,59.01,59.01,41801200
2015-11-01,59.08,59.55,53.46,57.3,57.3,33491500
2015-12-01,57.36,60.0,50.57,53.97,53.97,75981000
2016-01-01,53.1,53.1,41.88,44.18,44.18,83851500
2016-02-01,43.63,48.94,41.25,46.26,46.26,60656600
2016-03-01,46.89,53.23,46.09,51.1,51.1,53530300
2016-04-01,50.57,55.99,48.78,52.95,52.95,65653600
2016-05-01,53.21,54.6,49.84,53.66,53.66,44008800
2016-06-01,53.66,53.66,45.06,49.03,49.03,83774200
2016-07-01,49.43,58.92,47.0,58.26,58.26,46454200
2016-08-01,58.07,60.53,54.86,58.95,58.95,42410400
2016-09-01,59.03,60.81,51.85,53.35,53.35,54502800
2016-10-01,52.84,53.95,48.79,49.94,49.94,45651700
2016-11-01,49.89,58.86,47.5,57.79,57.79,49547100
2016-12-01,58.15,66.64,57.76,64.39,64.39,47616400
2017-01-01,65.03,68.86,64.1,66.71,66.71,40626800
2017-02-01,65.0,69.11,64.18,64.54,64.54,33707900
2017-03-01,65.51,66.44,57.83,59.22,59.22,55193500
2017-04-01,58.2,60.72,54.29,58.5,58.5,75108900
2017-05-01,58.7,65.8,56.53,62.83,62.83,53520200
2017-06-01,63.16,64.33,58.34,63.06,63.06,72982500
2017-07-01,63.4,67.25,62.22,66.25,66.25,32734900
2017-08-01,66.16,67.47,62.74,67.15,67.15,30048100
2017-09-01,67.67,76.4,67.45,75.81,75.81,49401100
2017-10-01,76.03,77.64,73.53,75.1,75.1,28765900
2017-11-01,75.3,76.88,66.63,68.91,68.91,41284000
2017-12-01,69.02,70.95,64.13,64.13,64.13,48232200
2018-01-01,64.26,72.88,63.56,71.37,71.37,45252100
2018-02-01,71.0,71.05,59.7,61.92,61.92,46026000
2018-03-01,62.2,63.55,58.97,61.94,61.94,43274000
2018-04-01,61.52,64.18,57.05,62.5,62.5,42601000
2018-05-01,62.24,69.75,62.16,68.92,68.92,32569000
2018-06-01,69.47,81.67,69.09,72.87,72.87,52932000
2018-07-01,72.69,78.4,72.08,74.68,74.68,26135400
2018-08-01,74.22,78.19,72.09,78.05,78.05,24326100
2018-09-01,77.91,80.91,72.65,74.67,74.67,34236400
2018-10-01,75.31,75.34,66.89,67.91,67.91,39292300
2018-11-01,68.1,70.96,58.96,66.07,66.07,34723900
2018-12-01,67.13,67.68,55.24,62.73,62.73,41642100
2019-01-01,61.9,66.64,57.95,58.78,58.78,39124100
2019-02-01,58.75,62.93,58.04,62.1,62.1,32952300
2019-03-01,62.2,70.99,58.19,69.8,69.8,48494100
2019-04-01,71.06,78.43,68.24,77.97,77.97,30372800
2019-04-26,76.28,77.99,76.08,77.97,77.97,1093437
