Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,69.31,70.28,69.11,70.21,70.21,2503500
2019-04-02,70.39,71.16,70.09,70.87,70.87,2217000
2019-04-03,71.23,71.91,70.81,71.01,71.01,2035400
2019-04-04,71.36,73.48,71.22,73.46,73.46,2497100
2019-04-05,73.46,74.24,71.96,72.0,72.0,2858400
2019-04-08,72.17,73.58,71.85,72.81,72.81,2541800
2019-04-09,72.39,73.03,72.21,72.45,72.45,1908000
2019-04-10,72.79,73.96,71.06,71.51,71.51,3236200
2019-04-11,71.79,72.17,70.05,70.16,70.16,2411400
2019-04-12,70.56,71.07,69.41,69.73,69.73,2242800
2019-04-15,69.75,70.35,69.34,69.91,69.91,2208900
2019-04-16,69.28,70.71,69.28,70.48,70.48,2419000
2019-04-17,70.75,71.12,69.81,69.83,69.83,2669500
2019-04-18,69.99,70.88,69.4,70.37,70.37,2044400
2019-04-22,69.78,69.78,67.02,67.45,67.45,5098200
2019-04-23,72.0,75.91,71.4,75.48,75.48,16102800
2019-04-24,75.56,75.8,73.23,73.28,73.28,5368400
2019-04-25,73.34,73.51,70.96,71.62,71.62,4283500
