Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,54.33,58.07,53.03,57.39,44.8,33967800.0
2014-06-01,57.46,60.61,56.57,58.66,45.79,25250300.0
2014-06-04,,,,,,
2014-07-01,58.96,61.95,56.78,57.97,45.52,32635100.0
2014-08-01,57.89,64.47,57.21,63.85,50.14,35470000.0
2014-08-20,,,,,,
2014-09-01,63.9,68.61,63.51,66.98,52.88,33823100.0
2014-10-01,66.98,73.24,64.47,72.12,56.94,41247900.0
2014-11-01,72.36,81.81,71.46,80.9,63.87,35443500.0
2014-11-19,,,,,,
2014-12-01,80.86,87.58,79.9,86.55,68.63,30307600.0
2015-01-01,87.0,87.14,79.32,84.63,67.11,42697900.0
2015-02-01,84.73,94.84,82.38,91.86,72.84,34357300.0
2015-02-18,,,,,,
2015-03-01,91.87,95.62,89.94,94.29,76.83,29880900.0
2015-04-01,94.78,95.78,88.48,89.36,72.82,25009500.0
2015-05-01,89.8,92.13,85.77,86.52,70.5,32834700.0
2015-06-01,86.59,88.43,83.42,85.73,69.86,37291000.0
2015-06-03,,,,,,
2015-07-01,86.34,87.42,80.42,80.72,66.16,39471000.0
2015-08-01,80.82,84.96,75.11,82.81,67.87,50988600.0
2015-08-19,,,,,,
2015-09-01,82.08,93.41,81.93,90.13,74.33,43465200.0
2015-10-01,90.1,97.93,89.64,95.98,79.15,31366700.0
2015-11-01,95.77,101.11,89.45,95.41,78.68,40591200.0
2015-11-18,,,,,,
2015-12-01,95.84,99.83,94.35,95.82,79.46,24783100.0
2016-01-01,94.6,97.39,88.66,96.15,79.73,39425800.0
2016-02-01,95.72,97.35,79.35,84.79,70.31,65335800.0
2016-02-17,,,,,,
2016-03-01,85.39,88.77,84.63,87.81,75.16,38599100.0
2016-04-01,87.7,88.74,75.91,78.29,67.01,59952300.0
2016-05-01,78.58,80.2,60.0,68.55,58.68,103578100.0
2016-06-01,67.95,71.46,64.3,67.13,57.46,58158200.0
2016-06-01,,,,,,
2016-07-01,66.87,75.0,66.36,73.9,63.81,36522300.0
2016-08-01,73.98,79.67,70.4,76.21,65.81,44829800.0
2016-08-17,,,,,,
2016-09-01,76.91,77.55,69.33,70.77,61.61,37839200.0
2016-10-01,70.86,74.46,69.67,72.19,62.85,34616400.0
2016-11-01,66.63,73.25,62.7,70.22,61.13,62781600.0
2016-11-16,,,,,,
2016-12-01,70.2,75.5,65.34,74.36,65.3,36090200.0
2017-01-01,65.36,68.44,58.18,60.21,52.88,60985600.0
2017-02-01,60.34,60.46,47.93,52.62,46.21,100358400.0
2017-02-15,,,,,,
2017-03-01,52.93,53.71,46.76,47.1,41.8,91162700.0
2017-04-01,47.1,52.88,43.04,52.81,46.86,89541900.0
2017-05-01,52.91,53.67,47.52,51.6,45.79,93716900.0
2017-05-31,,,,,,
2017-06-01,51.83,55.35,49.87,53.89,48.39,61968200.0
2017-07-01,54.35,55.98,43.35,46.39,41.65,78314000.0
2017-08-01,46.39,46.66,35.0,36.22,32.52,122780800.0
2017-08-17,,,,,,
2017-09-01,36.23,43.24,36.16,41.61,37.94,96714800.0
2017-10-01,41.64,45.57,39.85,43.04,39.24,83557100.0
2017-11-01,43.46,57.19,42.54,56.07,51.12,99473300.0
2017-11-22,,,,,,
2017-12-01,55.86,63.1,54.09,60.22,55.58,75336100.0
2018-01-01,61.25,61.44,47.0,50.09,46.23,105608500.0
2018-02-01,49.54,51.13,44.38,49.33,45.53,74984200.0
2018-02-22,,,,,,
2018-03-01,44.77,45.54,36.77,38.21,35.71,119550400.0
2018-04-01,38.31,38.94,34.2,34.91,32.63,85212100.0
2018-05-01,34.8,36.53,30.7,33.91,31.69,120633800.0
2018-05-31,,,,,,
2018-06-01,33.95,38.14,33.81,36.88,35.05,86363800.0
2018-07-01,36.55,37.84,30.42,31.67,30.1,88404700.0
2018-08-01,31.52,33.32,26.08,26.43,25.12,156630800.0
2018-08-23,,,,,,
2018-09-01,26.4,30.64,25.89,30.3,29.34,106197300.0
2018-10-01,30.53,32.81,28.1,32.42,31.39,112506200.0
2018-11-01,32.72,38.0,28.1,33.11,32.06,137016300.0
2018-11-21,,,,,,
2018-12-01,33.9,34.89,23.71,25.67,25.39,95458500.0
2019-01-01,25.09,29.69,24.66,27.84,27.54,91551800.0
2019-02-01,27.97,28.27,24.77,26.14,25.85,76271300.0
2019-02-21,,,,,,
2019-03-01,27.8,29.02,25.55,27.58,27.58,106065500.0
2019-04-01,27.82,28.06,24.73,26.17,26.17,78473000.0
2019-04-26,25.88,26.36,25.67,26.17,26.17,2572306.0
