Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.46,42.69,42.21,42.62,42.62,676800
2019-04-02,42.67,42.77,42.34,42.47,42.47,496700
2019-04-03,42.78,42.86,42.47,42.6,42.6,705700
2019-04-04,42.54,43.02,42.5,42.91,42.91,831000
2019-04-05,43.17,43.73,43.06,43.56,43.56,1264200
2019-04-08,43.27,43.33,42.25,42.96,42.96,1422600
2019-04-09,42.75,42.76,42.2,42.32,42.32,914600
2019-04-10,42.63,42.99,42.54,42.98,42.98,881200
2019-04-11,42.98,43.29,42.97,43.21,43.21,875000
2019-04-12,43.51,43.69,42.99,43.25,43.25,718900
2019-04-15,43.18,43.47,43.07,43.2,43.2,814400
2019-04-16,43.45,43.76,43.05,43.74,43.74,783900
2019-04-17,43.87,43.89,43.22,43.31,43.31,541000
2019-04-18,43.16,43.6,43.06,43.27,43.27,770900
2019-04-22,43.13,43.35,42.69,42.84,42.84,835000
2019-04-23,43.15,43.5,42.76,42.98,42.98,1057300
2019-04-24,42.95,43.29,42.61,42.9,42.9,901900
2019-04-25,42.84,42.84,41.52,41.69,41.69,833900
