Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.94,49.44,48.13,48.91,48.87,4868700
2019-04-02,48.7,48.94,48.05,48.86,48.82,4264900
2019-04-03,49.17,50.19,48.8,49.81,49.77,3871900
2019-04-04,49.76,50.87,49.74,50.69,50.65,4140200
2019-04-05,51.22,51.77,51.0,51.68,51.64,3567500
2019-04-08,51.54,51.92,51.09,51.3,51.26,2291200
2019-04-09,51.01,51.2,50.14,50.23,50.19,3515800
2019-04-10,50.47,51.2,50.37,50.84,50.8,2660600
2019-04-11,50.87,51.36,50.74,51.3,51.26,2747100
2019-04-12,51.61,51.82,50.86,50.97,50.93,3742800
2019-04-15,51.14,51.35,50.67,51.14,51.1,2503100
2019-04-16,51.4,51.54,51.02,51.4,51.36,2037600
2019-04-17,51.15,52.04,50.95,51.91,51.87,2772500
2019-04-18,51.86,53.09,51.82,52.91,52.87,2888500
2019-04-22,52.68,52.8,51.83,52.09,52.05,2315400
2019-04-23,52.38,53.18,52.14,52.46,52.46,2658200
2019-04-24,52.57,53.1,52.26,52.63,52.63,2572700
2019-04-25,51.57,52.11,50.48,51.56,51.56,3085100
