Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,163.72,168.0,159.89,163.65,141.22,25879300.0
2014-05-29,,,,,,
2014-06-01,163.88,168.87,160.36,160.73,139.85,21520200.0
2014-07-01,160.04,171.36,156.23,166.97,145.28,28757600.0
2014-08-01,166.72,177.19,162.52,174.0,151.39,23724200.0
2014-08-28,,,,,,
2014-08-29,,,,,,
2014-09-01,175.14,184.09,172.37,182.78,161.47,28349400.0
2014-10-01,181.15,191.92,166.28,190.57,168.36,44794300.0
2014-11-01,191.3,192.94,184.39,191.56,169.23,25395300.0
2014-11-26,,,,,,
2014-12-01,190.93,198.72,182.41,192.57,171.49,26296900.0
2015-01-01,192.1,198.88,186.8,188.37,167.75,26623300.0
2015-02-01,188.41,207.06,186.01,200.05,178.15,26014100.0
2015-02-26,,,,,,
2015-03-01,200.05,206.19,195.6,202.96,182.07,27222100.0
2015-04-01,202.1,202.55,185.65,186.6,167.4,28405400.0
2015-05-01,186.8,194.31,185.91,188.2,168.83,21135400.0
2015-05-28,,,,,,
2015-06-01,189.48,194.49,185.33,185.9,168.09,26427900.0
2015-07-01,186.01,210.41,186.01,207.1,187.25,28545400.0
2015-08-01,207.27,213.34,181.91,201.18,181.9,29179100.0
2015-08-28,,,,,,
2015-09-01,197.87,210.53,197.02,207.31,188.82,27774900.0
2015-10-01,206.31,225.15,201.81,219.83,200.23,30518000.0
2015-11-01,219.89,227.91,211.78,219.16,199.62,27697500.0
2015-11-27,,,,,,
2015-12-01,220.06,223.1,211.85,217.15,199.24,27197500.0
2016-01-01,214.0,221.0,200.47,211.0,193.6,40440200.0
2016-02-01,209.26,220.14,203.65,215.79,197.99,32692000.0
2016-02-26,,,,,,
2016-03-01,216.59,223.86,210.9,221.5,204.77,24925500.0
2016-04-01,219.96,234.59,219.17,232.38,214.83,21620300.0
2016-05-01,232.74,245.37,231.37,236.23,218.39,23064500.0
2016-05-27,,,,,,
2016-06-01,236.23,248.72,234.75,248.17,231.0,28272100.0
2016-07-01,248.17,263.37,247.88,252.73,235.25,54435100.0
2016-08-01,252.63,266.93,238.6,242.97,226.16,146210400.0
2016-08-30,,,,,,
2016-09-01,243.13,247.48,235.28,239.72,224.65,30218900.0
2016-10-01,238.71,252.0,228.5,246.38,230.9,28911600.0
2016-11-01,247.19,269.74,236.21,265.25,248.58,32647700.0
2016-11-29,,,,,,
2016-12-01,265.29,269.9,245.5,249.94,235.85,34673900.0
2017-01-01,251.2,259.74,248.0,251.33,237.16,30318300.0
2017-02-01,250.83,270.0,249.98,266.58,251.55,20301200.0
2017-02-27,,,,,,
2017-03-01,269.09,274.57,264.04,267.6,254.25,22113300.0
2017-04-01,267.6,276.64,266.32,269.45,256.01,18985400.0
2017-05-01,269.55,284.0,266.01,281.13,267.1,19550500.0
2017-05-30,,,,,,
2017-06-01,281.18,284.98,273.92,277.61,265.46,19219700.0
2017-07-01,277.39,293.84,277.2,292.13,279.35,20414600.0
2017-08-01,293.93,308.48,291.9,305.39,292.03,23313800.0
2017-08-30,,,,,,
2017-09-01,305.96,311.36,298.4,310.29,298.48,22599900.0
2017-10-01,310.79,322.19,303.31,308.16,296.43,23050400.0
2017-11-01,309.05,321.21,306.11,319.12,306.97,17979000.0
2017-11-30,,,,,,
2017-12-01,319.06,323.94,310.07,321.05,310.76,19475800.0
2018-01-01,322.0,358.52,317.5,354.85,343.48,30190600.0
2018-02-01,354.26,363.0,326.11,352.44,341.15,31501700.0
2018-02-28,,,,,,
2018-03-01,352.46,353.58,325.79,337.93,328.94,37030100.0
2018-04-01,337.06,361.99,320.2,320.84,312.3,31055300.0
2018-05-01,320.49,329.13,300.5,314.54,306.17,34953500.0
2018-05-31,,,,,,
2018-06-01,316.92,322.62,291.52,295.43,289.37,29314800.0
2018-07-01,294.17,329.65,292.32,326.1,319.41,27908200.0
2018-08-01,325.59,327.42,311.39,320.41,313.84,23929900.0
2018-08-31,,,,,,
2018-09-01,320.0,348.0,317.6,345.96,340.99,25226000.0
2018-10-01,347.09,351.35,283.21,293.85,289.63,36580800.0
2018-11-01,295.73,314.23,288.56,300.43,296.11,30258900.0
2018-11-30,,,,,,
2018-12-01,304.94,305.33,241.18,261.84,259.97,36307800.0
2019-01-01,258.36,293.99,256.79,289.69,287.62,30269500.0
2019-02-01,290.85,311.75,289.2,309.41,307.2,20388400.0
2019-02-28,,,,,,
2019-03-01,311.56,311.78,292.53,300.16,300.16,26948300.0
2019-04-01,302.56,337.32,296.14,328.33,328.33,22697100.0
2019-04-26,329.6,330.75,327.08,328.33,328.33,858737.0
