Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,59.74,62.02,59.46,61.91,61.55,2583200
2019-04-02,61.88,62.14,61.06,61.12,60.76,1650800
2019-04-03,62.02,62.71,61.77,62.08,61.72,1560100
2019-04-04,62.01,63.2,62.01,62.66,62.29,1096700
2019-04-05,62.92,63.63,62.62,63.4,63.03,1206700
2019-04-08,63.28,63.79,63.19,63.48,63.11,942600
2019-04-09,62.84,62.84,61.73,61.87,61.87,1278800
2019-04-10,62.0,63.06,61.61,62.95,62.95,1357800
2019-04-11,63.31,64.44,63.27,63.9,63.9,1431900
2019-04-12,64.88,66.15,64.68,64.91,64.91,1537000
2019-04-15,65.06,65.36,64.28,64.5,64.5,1311200
2019-04-16,64.93,66.13,64.69,66.11,66.11,979500
2019-04-17,66.48,67.15,65.91,66.16,66.16,1632300
2019-04-18,65.96,66.5,65.88,66.19,66.19,1139400
2019-04-22,65.86,66.23,65.58,65.72,65.72,727300
2019-04-23,65.56,66.52,65.56,66.14,66.14,986000
2019-04-24,65.97,65.97,65.15,65.51,65.51,900000
2019-04-25,65.07,65.85,64.66,65.13,65.13,745800
