Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,24.17,26.64,23.85,26.45,25.34,105610500.0
2014-06-01,26.48,27.7,25.47,26.86,25.73,140138400.0
2014-06-02,,,,,,
2014-07-01,27.18,29.7,25.86,28.28,27.15,141101900.0
2014-08-01,28.21,32.43,27.42,32.01,30.73,102522300.0
2014-08-19,,,,,,
2014-09-01,32.08,35.49,32.03,33.77,32.49,150320300.0
2014-10-01,32.97,35.35,28.4,34.48,33.17,278877600.0
2014-11-01,34.55,42.42,34.47,41.82,40.23,150416400.0
2014-12-01,42.24,43.19,38.73,42.32,40.71,194291500.0
2014-12-09,,,,,,
2015-01-01,42.69,47.17,38.26,45.18,43.53,186821100.0
2015-02-01,44.94,45.49,42.19,43.24,41.66,150474600.0
2015-03-01,43.24,46.5,42.21,44.3,42.68,132882700.0
2015-03-03,,,,,,
2015-04-01,44.07,44.19,40.1,40.56,39.13,140801100.0
2015-05-01,40.83,43.45,35.54,37.05,35.74,185838400.0
2015-06-01,37.11,38.3,33.02,33.09,31.92,237862200.0
2015-06-01,,,,,,
2015-07-01,33.86,38.7,31.36,36.2,34.99,195239800.0
2015-08-01,36.66,40.87,32.94,36.7,35.48,186628400.0
2015-08-18,,,,,,
2015-09-01,36.17,40.0,36.0,38.04,36.84,140309600.0
2015-10-01,37.82,46.95,37.0,46.29,44.83,163675600.0
2015-11-01,46.47,47.76,44.68,45.88,44.43,99927700.0
2015-12-01,46.0,51.34,42.66,43.06,41.7,138821000.0
2015-12-08,,,,,,
2016-01-01,41.7,43.5,35.51,37.62,36.49,153889500.0
2016-02-01,37.62,42.86,33.96,41.95,40.69,146087600.0
2016-03-01,42.22,45.39,39.99,44.8,43.45,135642000.0
2016-03-01,,,,,,
2016-04-01,44.4,48.0,43.09,44.61,43.34,136603700.0
2016-05-01,44.63,45.0,40.74,42.48,41.28,112991700.0
2016-06-01,42.48,44.33,36.48,39.21,38.1,168318000.0
2016-06-06,,,,,,
2016-07-01,39.26,45.0,37.01,37.01,36.05,172792800.0
2016-08-01,37.16,38.03,35.42,36.88,35.92,140678000.0
2016-08-16,,,,,,
2016-09-01,36.88,39.18,36.31,38.89,37.98,133578000.0
2016-10-01,38.85,42.93,36.91,40.05,39.11,211571400.0
2016-11-01,39.98,47.99,39.33,46.61,45.52,147525000.0
2016-12-01,46.36,51.31,46.19,49.84,48.67,104357100.0
2016-12-06,,,,,,
2017-01-01,50.4,54.18,48.71,52.31,51.2,123698600.0
2017-02-01,52.55,58.57,52.18,57.8,56.57,99884700.0
2017-03-01,58.47,59.68,51.11,53.76,52.61,137616000.0
2017-03-07,,,,,,
2017-04-01,53.72,57.84,52.88,56.22,55.12,91034200.0
2017-05-01,56.52,61.19,56.17,60.09,58.91,89185500.0
2017-06-01,60.18,62.75,57.63,62.14,60.92,105401300.0
2017-06-05,,,,,,
2017-07-01,62.52,64.39,53.77,55.51,54.51,105937200.0
2017-08-01,55.88,56.87,50.49,52.14,51.2,128344000.0
2017-08-22,,,,,,
2017-09-01,52.35,56.65,49.76,55.98,55.1,116273300.0
2017-10-01,56.02,59.89,53.54,53.86,53.02,119151500.0
2017-11-01,54.03,61.51,52.78,60.67,59.72,91029600.0
2017-12-01,60.51,66.99,59.51,65.45,64.42,85218100.0
2017-12-06,,,,,,
2018-01-01,65.91,66.52,59.25,60.8,59.97,116206700.0
2018-02-01,60.51,61.12,54.01,57.84,57.05,91537100.0
2018-03-01,57.78,61.38,55.87,57.28,56.5,108342800.0
2018-03-06,,,,,,
2018-04-01,57.19,57.19,51.0,52.83,52.22,113398500.0
2018-05-01,52.8,53.61,50.2,51.08,50.49,139091900.0
2018-06-01,51.2,53.54,49.93,50.88,50.29,134202100.0
2018-06-05,,,,,,
2018-07-01,50.63,59.33,50.5,58.16,57.67,109641900.0
2018-08-01,58.12,62.2,55.61,61.3,60.78,83209400.0
2018-08-21,,,,,,
2018-09-01,61.43,64.02,60.66,62.45,62.08,74908300.0
2018-10-01,62.61,63.2,47.1,49.1,48.81,143452500.0
2018-11-01,49.3,54.66,49.3,54.61,54.29,101260600.0
2018-12-01,54.9,55.68,44.28,46.48,46.21,91516600.0
2018-12-04,,,,,,
2019-01-01,46.05,57.82,44.61,56.76,56.59,103900300.0
2019-02-01,56.99,58.77,53.31,56.04,55.87,105775000.0
2019-03-01,56.28,56.58,48.5,51.91,51.76,131602400.0
2019-03-05,,,,,,
2019-04-01,52.27,54.86,51.38,52.98,52.98,72552900.0
2019-04-26,53.25,53.55,52.94,52.98,52.98,3671953.0
