Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,43.38,43.41,42.53,43.11,43.11,989000
2019-04-02,43.13,43.68,42.66,43.57,43.57,900700
2019-04-03,43.58,43.91,43.42,43.59,43.59,584700
2019-04-04,43.6,43.91,43.44,43.8,43.8,421300
2019-04-05,43.87,44.29,43.76,44.22,44.22,580600
2019-04-08,44.27,44.73,43.59,43.63,43.63,464300
2019-04-09,43.62,43.73,43.0,43.42,43.42,888800
2019-04-10,43.64,43.84,42.82,43.4,43.4,814700
2019-04-11,43.49,43.79,42.87,43.08,43.08,530800
2019-04-12,43.02,43.56,42.89,43.52,43.52,1000300
2019-04-15,43.69,43.78,42.88,43.0,43.0,760000
2019-04-16,42.84,43.14,40.03,41.04,41.04,2709800
2019-04-17,41.16,41.49,40.49,41.06,41.06,1346800
2019-04-18,40.99,41.73,40.88,41.46,41.46,723000
2019-04-22,41.29,41.3,39.71,40.35,40.35,1836300
2019-04-23,40.51,41.4,40.44,41.23,41.23,862500
2019-04-24,41.38,41.91,41.15,41.19,41.19,704700
2019-04-25,40.96,41.25,40.49,40.59,40.59,694100
