Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,57.87,61.73,57.24,61.62,57.71,46504400.0
2014-05-21,,,,,,
2014-06-01,61.71,64.31,61.0,64.1,60.24,43420000.0
2014-07-01,64.32,67.12,63.37,64.71,60.81,49371100.0
2014-08-01,64.79,69.49,64.12,69.4,65.22,38294800.0
2014-08-19,,,,,,
2014-09-01,69.68,73.28,68.8,69.9,65.88,44059300.0
2014-10-01,69.56,77.99,59.61,75.75,71.39,88380100.0
2014-11-01,75.91,79.21,73.94,78.79,74.26,40293900.0
2014-11-18,,,,,,
2014-12-01,78.5,79.25,75.62,78.03,73.73,40177100.0
2015-01-01,78.34,79.61,73.91,74.5,70.4,41023600.0
2015-02-01,74.28,84.77,72.77,83.1,78.53,46227600.0
2015-02-25,,,,,,
2015-03-01,83.35,85.0,78.58,80.32,76.08,40305100.0
2015-04-01,80.42,84.33,77.15,80.05,75.83,44494500.0
2015-05-01,80.65,81.83,77.82,77.99,73.88,34593300.0
2015-05-20,,,,,,
2015-06-01,78.2,79.88,73.77,74.39,70.68,37775200.0
2015-07-01,75.22,78.76,71.89,72.61,68.99,50199900.0
2015-08-01,72.16,73.4,63.95,70.66,67.14,55119300.0
2015-08-18,,,,,,
2015-09-01,68.68,73.34,65.31,68.2,65.03,54484200.0
2015-10-01,68.39,79.88,68.25,76.78,73.21,62538900.0
2015-11-01,77.0,77.9,69.89,70.91,67.61,58579500.0
2015-11-17,,,,,,
2015-12-01,71.51,72.68,64.64,67.04,64.14,59359400.0
2016-01-01,65.93,66.2,56.43,61.28,58.63,95174100.0
2016-02-01,60.32,69.0,57.69,68.15,65.2,87587700.0
2016-02-23,,,,,,
2016-03-01,68.33,73.89,66.72,71.18,68.35,110388300.0
2016-04-01,67.48,70.75,65.11,70.09,67.31,121919900.0
2016-05-01,70.33,70.47,64.11,66.04,63.42,65569800.0
2016-05-18,,,,,,
2016-06-01,66.22,68.99,60.87,66.46,64.11,75355500.0
2016-07-01,66.39,71.85,66.09,71.7,69.16,57501600.0
2016-08-01,71.49,73.99,69.68,71.33,68.8,52792500.0
2016-09-01,71.4,71.95,66.54,67.33,64.95,116159300.0
2016-09-21,,,,,,
2016-10-01,67.34,68.96,65.91,68.7,66.55,55629100.0
2016-11-01,68.68,79.58,67.74,78.78,76.32,74283800.0
2016-11-21,,,,,,
2016-12-01,78.47,86.15,78.47,82.68,80.41,62991500.0
2017-01-01,83.35,86.32,81.04,84.6,82.28,47130600.0
2017-02-01,84.49,91.07,83.81,86.99,84.6,45041200.0
2017-02-22,,,,,,
2017-03-01,87.5,95.42,85.63,94.18,91.91,59185100.0
2017-04-01,94.28,96.82,90.0,94.42,92.14,51015400.0
2017-05-01,94.72,107.68,94.46,107.65,105.05,59919200.0
2017-05-17,,,,,,
2017-06-01,108.0,110.51,99.08,100.31,98.2,63959500.0
2017-07-01,100.61,104.97,99.38,104.19,102.0,33406800.0
2017-08-01,104.8,107.63,96.9,100.3,98.19,61630900.0
2017-08-22,,,,,,
2017-09-01,104.02,111.32,101.11,110.26,108.3,46798200.0
2017-10-01,110.35,119.91,108.31,119.48,117.36,45552100.0
2017-11-01,120.51,128.37,118.01,127.0,124.74,65411100.0
2017-11-21,,,,,,
2017-12-01,126.03,137.6,124.45,135.73,133.67,45549600.0
2018-01-01,135.89,149.21,132.2,147.34,145.1,47595600.0
2018-02-01,146.6,148.26,131.0,141.21,139.07,49175100.0
2018-02-22,,,,,,
2018-03-01,141.21,144.61,132.56,135.98,134.23,43015900.0
2018-04-01,134.96,139.5,128.97,136.68,134.92,45363800.0
2018-05-01,136.19,141.61,130.72,135.36,133.62,42459300.0
2018-05-17,,,,,,
2018-06-01,136.58,142.19,124.22,126.6,125.34,35924600.0
2018-07-01,125.57,134.12,124.34,127.84,126.56,39379500.0
2018-08-01,127.78,129.51,119.32,126.47,125.21,50260100.0
2018-08-22,,,,,,
2018-09-01,126.11,133.5,123.56,132.03,131.14,44625700.0
2018-10-01,132.67,132.86,106.96,116.89,116.1,56311700.0
2018-11-01,118.49,122.97,112.11,115.03,114.25,50116400.0
2018-11-20,,,,,,
2018-12-01,116.0,120.09,100.62,108.56,108.21,47213400.0
2019-01-01,106.72,115.03,101.57,114.53,114.16,42280400.0
2019-02-01,114.79,130.16,114.01,125.27,124.87,38575800.0
2019-02-28,,,,,,
2019-03-01,125.49,126.72,118.99,125.09,125.09,48305400.0
2019-04-01,126.24,137.03,125.85,136.45,136.45,26647900.0
2019-04-26,136.25,137.03,135.57,136.45,136.45,800556.0
