Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,126.24,127.59,125.85,127.45,127.45,1383400
2019-04-02,127.23,128.6,126.51,128.5,128.5,1783100
2019-04-03,129.45,131.85,128.72,131.59,131.59,2218400
2019-04-04,131.55,132.5,131.13,132.2,132.2,2269000
2019-04-05,132.57,134.81,132.32,134.06,134.06,2210300
2019-04-08,133.88,134.96,133.47,134.91,134.91,1866700
2019-04-09,134.13,134.95,132.27,132.65,132.65,1689000
2019-04-10,132.99,133.18,132.3,132.75,132.75,1476700
2019-04-11,133.42,133.82,132.72,133.25,133.25,1245200
2019-04-12,133.49,134.74,133.26,134.65,134.65,1163900
2019-04-15,134.5,134.97,133.1,134.37,134.37,657400
2019-04-16,134.4,135.91,134.37,135.8,135.8,979900
2019-04-17,136.27,136.94,135.65,135.93,135.93,1111300
2019-04-18,136.74,136.74,133.49,134.41,134.41,1378300
2019-04-22,133.65,136.16,133.33,135.86,135.86,1182300
2019-04-23,136.28,136.79,135.44,136.28,136.28,1036900
2019-04-24,134.66,136.04,134.66,135.48,135.48,1232500
2019-04-25,134.92,136.2,134.11,135.68,135.68,926100
