Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,39.55,39.8,38.04,38.83,32.32,44000400.0
2014-05-21,,,,,,
2014-06-01,38.87,39.55,38.28,38.97,32.76,41913300.0
2014-07-01,38.97,40.0,35.09,35.42,29.78,78388500.0
2014-08-01,35.4,35.98,34.4,34.49,29.0,50830900.0
2014-08-25,,,,,,
2014-09-01,34.53,35.15,29.96,30.65,26.05,72771200.0
2014-10-01,30.62,32.17,28.67,31.07,26.41,124141600.0
2014-11-01,31.17,31.91,30.65,31.55,26.82,59671500.0
2014-11-24,,,,,,
2014-12-01,31.36,31.53,28.9,30.95,26.63,108470200.0
2015-01-01,31.16,31.25,24.88,26.9,23.14,138611800.0
2015-02-01,27.06,28.45,25.16,26.32,22.64,92587900.0
2015-02-17,,,,,,
2015-03-01,26.51,27.13,22.44,22.85,19.93,119481200.0
2015-04-01,22.85,30.44,22.32,28.16,24.57,194972700.0
2015-05-01,28.15,28.38,25.36,25.81,22.52,84173300.0
2015-05-20,,,,,,
2015-06-01,25.84,27.33,25.23,25.69,22.74,72145800.0
2015-07-01,25.95,26.51,22.82,23.21,20.55,112842700.0
2015-08-01,23.51,23.6,20.5,23.43,20.74,114802300.0
2015-08-24,,,,,,
2015-09-01,22.69,24.2,20.35,21.06,18.96,87425800.0
2015-10-01,20.8,24.98,19.45,24.58,22.13,142404500.0
2015-11-01,24.61,26.06,22.63,24.86,22.39,100780000.0
2015-11-23,,,,,,
2015-12-01,24.93,27.93,24.28,27.17,24.85,137425400.0
2016-01-01,26.71,27.73,23.85,27.59,25.23,109657500.0
2016-02-01,27.7,34.36,26.11,32.52,29.74,165669500.0
2016-02-12,,,,,,
2016-03-01,32.83,33.92,31.72,33.62,31.14,92442500.0
2016-04-01,33.55,34.76,29.95,31.09,28.8,99152100.0
2016-05-01,31.12,31.91,29.69,31.88,29.53,61669600.0
2016-05-17,,,,,,
2016-06-01,31.72,32.91,28.78,31.29,29.35,73118200.0
2016-07-01,31.29,33.89,31.0,33.38,31.31,65420800.0
2016-08-01,33.26,34.24,32.13,33.13,31.07,54281200.0
2016-08-19,,,,,,
2016-09-01,33.17,33.79,30.26,30.28,28.73,65503300.0
2016-10-01,30.07,33.23,29.4,31.53,29.91,83183200.0
2016-11-01,31.59,32.48,29.74,31.57,29.95,75577100.0
2016-11-18,,,,,,
2016-12-01,31.56,31.66,27.27,27.55,26.45,86772800.0
2017-01-01,27.67,31.6,25.79,26.21,25.17,135985800.0
2017-02-01,26.28,26.8,25.17,25.73,24.7,115708300.0
2017-02-14,,,,,,
2017-03-01,25.93,26.02,24.6,25.61,24.96,96082000.0
2017-04-01,25.65,25.97,21.55,22.42,21.85,127998000.0
2017-05-01,22.51,23.06,21.56,22.91,22.32,129906500.0
2017-05-17,,,,,,
2017-06-01,22.92,23.12,19.41,21.53,21.34,186970000.0
2017-07-01,21.54,21.67,19.16,20.02,19.84,140043400.0
2017-08-01,20.02,20.08,15.92,16.22,16.08,142715000.0
2017-08-21,,,,,,
2017-09-01,16.26,16.53,14.35,15.48,15.48,173120000.0
2017-10-01,15.43,16.09,12.71,14.12,14.12,321263500.0
2017-11-01,14.18,19.21,12.93,18.25,18.25,262751700.0
2017-12-01,18.29,18.42,14.54,15.38,15.38,142913400.0
2018-01-01,15.42,18.88,14.79,15.84,15.84,121711200.0
2018-02-01,15.74,18.02,14.32,15.9,15.9,134378600.0
2018-03-01,15.9,17.02,12.72,13.15,13.15,139493700.0
2018-04-01,13.14,15.3,12.21,14.8,14.8,133251700.0
2018-05-01,14.68,15.58,13.69,15.52,15.52,85185600.0
2018-06-01,15.58,17.98,15.5,16.42,16.42,81504500.0
2018-07-01,16.35,17.73,14.65,15.87,15.87,72945000.0
2018-08-01,15.55,16.16,15.0,15.43,15.43,71872500.0
2018-09-01,15.34,16.72,15.17,15.7,15.7,54431200.0
2018-10-01,15.7,16.12,12.46,13.58,13.58,122498800.0
2018-11-01,13.63,14.76,12.66,13.9,13.9,68611800.0
2018-12-01,14.0,14.29,9.09,9.99,9.99,112403900.0
2019-01-01,9.83,12.77,9.26,11.84,11.84,99808400.0
2019-02-01,11.85,17.27,11.59,14.42,14.42,217642000.0
2019-03-01,14.57,15.19,12.82,13.0,13.0,80413700.0
2019-04-01,13.06,13.75,11.75,12.14,12.14,97756900.0
2019-04-26,13.32,13.61,12.07,12.14,12.14,15828104.0
