Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,132.31,143.5,131.19,135.66,135.66,17534100
2014-06-01,135.93,138.77,129.79,138.34,138.34,15264200
2014-07-01,138.4,141.0,123.81,124.77,124.77,22270000
2014-08-01,130.3,147.65,126.28,146.02,146.02,19257400
2014-09-01,146.06,149.84,134.59,134.82,134.82,14430200
2014-10-01,134.67,147.03,120.37,142.04,142.04,19646000
2014-11-01,142.44,155.07,138.22,153.59,153.59,12014200
2014-12-01,152.39,158.58,143.22,155.36,155.36,15273400
2015-01-01,156.66,170.06,151.15,165.04,165.04,18884800
2015-02-01,166.96,187.45,162.41,184.35,184.35,15309200
2015-03-01,184.35,188.29,175.68,185.75,185.75,14184800
2015-04-01,185.95,187.29,172.97,173.5,173.5,11682000
2015-05-01,174.58,190.16,174.17,186.64,186.64,11427600
2015-06-01,186.89,195.3,186.1,190.9,190.9,9685300
2015-07-01,192.8,202.37,189.0,201.59,201.59,10584600
2015-08-01,204.0,212.16,183.52,196.97,196.97,17673400
2015-09-01,193.5,209.98,174.49,181.79,181.79,16539900
2015-10-01,182.96,199.73,180.88,195.5,195.5,18029200
2015-11-01,196.22,201.88,180.0,190.72,190.72,15762600
2015-12-01,192.02,200.42,183.14,189.39,189.39,12556500
2016-01-01,189.0,189.0,153.15,166.41,166.41,14220400
2016-02-01,166.01,182.96,148.56,179.73,179.73,17248200
2016-03-01,182.06,193.59,176.59,190.9,190.9,13179500
2016-04-01,190.2,200.77,186.16,192.63,192.63,9413100
2016-05-01,194.11,200.63,189.55,196.69,196.69,11577500
2016-06-01,195.37,201.78,177.34,189.76,189.76,9858200
2016-07-01,189.79,209.42,183.9,208.94,208.94,9003100
2016-08-01,209.11,214.93,206.16,212.78,212.78,10757800
2016-09-01,212.86,216.58,197.7,200.34,200.34,11451700
2016-10-01,199.47,201.75,182.68,184.3,184.3,10837300
2016-11-01,183.43,205.26,175.52,197.44,197.44,19008000
2016-12-01,197.51,205.91,189.44,199.68,199.68,10528600
2017-01-01,201.68,217.96,199.9,215.84,215.84,11871000
2017-02-01,215.85,228.52,209.9,226.36,226.36,11708900
2017-03-01,229.31,233.7,223.84,229.49,229.49,10395300
2017-04-01,229.92,241.02,226.57,234.79,234.79,9821500
2017-05-01,235.95,239.43,226.65,239.3,239.3,9273900
2017-06-01,239.08,248.24,237.47,241.69,241.69,8402000
2017-07-01,242.37,251.69,236.48,248.99,248.99,9888300
2017-08-01,249.9,254.75,244.77,253.12,253.12,8910100
2017-09-01,253.2,259.91,242.49,247.51,247.51,10426200
2017-10-01,248.16,268.46,247.51,261.76,261.76,12640600
2017-11-01,261.39,283.22,256.32,282.61,282.61,8376200
2017-12-01,283.1,286.85,271.54,275.9,275.9,9892800
2018-01-01,277.04,282.21,269.25,281.06,281.06,11837400
2018-02-01,280.27,280.8,238.63,239.88,239.88,18138700
2018-03-01,239.87,253.55,226.62,232.22,232.22,15130200
2018-04-01,232.22,247.13,209.47,209.88,209.88,19001100
2018-05-01,209.75,219.39,203.87,204.04,204.04,20050300
2018-06-01,204.53,215.81,202.75,214.27,214.27,16649700
2018-07-01,212.38,228.49,177.0,188.36,188.36,30186200
2018-08-01,189.0,196.3,180.45,191.59,191.59,20239100
2018-09-01,191.2,192.45,173.82,175.35,175.35,17425500
2018-10-01,175.91,176.74,113.45,124.73,124.73,43168600
2018-11-01,125.43,133.29,119.09,128.06,128.06,22075100
2018-12-01,130.23,130.69,109.35,116.96,116.96,20588500
2019-01-01,114.94,129.17,114.36,128.79,128.79,20692300
2019-02-01,127.79,143.97,125.54,136.12,136.12,22938900
2019-03-01,137.71,139.27,123.3,126.15,126.15,16081000
2019-04-01,127.04,134.8,118.25,127.0,127.0,13559100
2019-04-26,128.88,130.09,118.25,127.0,127.0,1950294
