Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,127.04,128.76,126.51,127.88,127.88,537200
2019-04-02,127.52,128.64,127.05,127.36,127.36,399600
2019-04-03,128.08,128.25,126.58,126.82,126.82,745100
2019-04-04,126.7,129.79,126.42,129.69,129.69,532600
2019-04-05,130.25,132.02,129.98,131.59,131.59,379400
2019-04-08,131.4,132.83,130.65,132.75,132.75,532100
2019-04-09,132.71,132.71,130.64,131.31,131.31,595700
2019-04-10,131.0,132.24,129.12,131.2,131.2,646500
2019-04-11,130.92,132.06,130.71,131.4,131.4,320900
2019-04-12,132.19,133.34,130.75,132.13,132.13,467100
2019-04-15,131.8,133.59,131.45,131.58,131.58,691300
2019-04-16,131.86,132.52,129.24,131.1,131.1,587500
2019-04-17,131.5,132.43,130.38,130.87,130.87,395800
2019-04-18,130.65,131.94,130.07,131.77,131.77,615400
2019-04-22,131.04,132.18,130.89,131.4,131.4,709900
2019-04-23,131.87,134.33,131.54,134.14,134.14,880600
2019-04-24,133.98,134.8,132.47,134.16,134.16,1232200
2019-04-25,133.0,134.13,130.14,130.71,130.71,1318400
