Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,209.89,212.39,209.26,211.94,211.94,2588400
2019-04-02,212.24,212.7,211.0,212.13,212.13,1413500
2019-04-03,212.95,213.93,212.44,213.13,213.13,1570000
2019-04-04,213.5,215.27,212.33,215.03,215.03,1560900
2019-04-05,215.88,216.49,214.8,215.41,215.41,1391100
2019-04-08,214.71,215.07,213.47,215.02,215.02,1130000
2019-04-09,214.42,214.57,211.82,211.96,211.96,1516500
2019-04-10,212.42,212.71,210.72,212.11,212.11,1348600
2019-04-11,211.71,213.71,211.44,213.53,213.53,1181200
2019-04-12,215.1,217.49,214.35,217.42,217.42,1922400
2019-04-15,216.84,217.36,214.9,215.83,215.83,1483300
2019-04-16,216.59,217.67,215.48,216.9,216.9,1549600
2019-04-17,217.63,219.33,217.18,217.64,217.64,1977600
2019-04-18,217.98,219.67,217.62,218.88,218.88,1780100
2019-04-22,217.3,219.4,217.27,218.54,218.54,1403500
2019-04-23,218.01,219.55,217.18,219.5,219.5,1561800
2019-04-24,219.0,219.75,218.1,219.08,219.08,2048900
2019-04-25,197.54,198.96,189.6,190.72,190.72,14568400
