Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,50.01,50.42,48.1,49.99,44.71,46733800.0
2014-06-01,49.98,51.25,48.23,49.45,44.22,64977200.0
2014-06-03,,,,,,
2014-07-01,49.51,49.59,45.95,46.11,41.45,56797300.0
2014-08-01,46.09,48.21,45.5,47.76,42.93,46667800.0
2014-09-01,47.63,47.65,44.09,44.41,39.92,54130600.0
2014-09-02,,,,,,
2014-10-01,44.09,44.39,40.32,44.31,40.04,81710200.0
2014-11-01,44.32,48.73,43.38,45.77,41.36,68180600.0
2014-12-01,45.67,46.84,43.59,45.65,41.25,63184500.0
2014-12-02,,,,,,
2015-01-01,45.86,49.5,44.78,48.69,44.24,70911500.0
2015-02-01,48.91,53.83,48.41,53.26,48.39,65798300.0
2015-03-01,53.1,53.55,45.92,46.06,41.85,94664400.0
2015-03-03,,,,,,
2015-04-01,46.26,46.5,43.33,44.0,40.17,75887600.0
2015-05-01,44.54,47.68,44.0,45.85,41.86,92278700.0
2015-06-01,45.9,47.13,43.81,46.85,42.77,83701000.0
2015-06-02,,,,,,
2015-07-01,47.05,47.13,42.0,42.94,39.44,85898700.0
2015-08-01,42.95,45.36,37.2,40.83,37.5,83824300.0
2015-09-01,39.57,41.35,30.53,31.11,28.57,93416400.0
2015-09-01,,,,,,
2015-10-01,31.08,36.05,29.61,33.79,31.25,109214900.0
2015-11-01,33.86,36.95,30.61,31.64,29.26,89331700.0
2015-12-01,31.5,32.26,26.96,27.59,25.51,123088800.0
2015-12-01,,,,,,
2016-01-01,27.31,28.67,22.05,24.1,22.48,131900300.0
2016-02-01,23.95,27.2,22.02,26.65,24.86,135364300.0
2016-03-01,26.56,31.1,26.48,27.0,25.19,135820700.0
2016-03-01,,,,,,
2016-04-01,26.89,29.66,24.52,27.99,26.38,110785400.0
2016-05-01,28.27,28.59,24.75,25.23,23.78,108918700.0
2016-05-31,,,,,,
2016-06-01,25.0,29.46,24.42,26.18,24.94,135535900.0
2016-07-01,26.03,29.69,24.45,27.0,25.72,103154400.0
2016-08-01,27.02,30.96,25.98,30.07,28.65,133330700.0
2016-09-01,30.0,30.03,23.73,24.46,23.3,102005600.0
2016-09-06,,,,,,
2016-10-01,24.5,25.49,22.77,23.53,22.63,97524900.0
2016-11-01,23.96,29.12,23.66,28.4,27.31,114277900.0
2016-11-29,,,,,,
2016-12-01,28.6,31.54,27.51,29.33,28.49,106327300.0
2017-01-01,29.65,33.99,29.28,31.37,30.48,95924400.0
2017-02-01,31.38,34.36,30.66,31.19,30.3,89204700.0
2017-02-28,,,,,,
2017-03-01,31.6,31.9,28.34,29.18,28.6,104163600.0
2017-04-01,29.25,29.51,26.67,26.93,26.39,76635400.0
2017-05-01,27.12,27.15,22.28,22.63,22.18,134542700.0
2017-05-30,,,,,,
2017-06-01,22.63,24.45,21.79,22.83,22.52,85977200.0
2017-07-01,23.04,24.77,22.17,24.14,23.81,71466200.0
2017-08-01,23.83,23.83,19.59,19.98,19.71,102351600.0
2017-09-01,20.05,21.91,19.23,21.59,21.3,88612600.0
2017-09-06,,,,,,
2017-10-01,21.53,22.9,20.72,22.34,22.21,82439000.0
2017-11-01,23.02,24.71,22.24,24.29,24.15,99104800.0
2017-12-01,24.31,26.12,23.17,25.66,25.51,108538400.0
2017-12-06,,,,,,
2018-01-01,25.95,28.3,25.22,27.3,27.17,102984400.0
2018-02-01,27.11,29.2,23.46,26.32,26.19,108669200.0
2018-02-28,,,,,,
2018-03-01,26.3,29.18,23.43,24.28,24.18,97672000.0
2018-04-01,24.25,27.49,22.9,26.95,26.84,84920700.0
2018-05-01,26.76,28.66,25.51,27.49,27.38,100983800.0
2018-06-01,27.72,29.95,27.15,28.05,27.94,80806200.0
2018-06-06,,,,,,
2018-07-01,27.78,30.36,27.5,30.11,30.02,66552700.0
2018-08-01,29.86,32.32,28.85,31.27,31.17,106957400.0
2018-09-01,31.17,32.98,29.67,32.48,32.38,66566300.0
2018-09-05,,,,,,
2018-10-01,32.65,34.01,29.04,30.94,30.87,95832100.0
2018-11-01,31.34,37.37,31.05,36.0,35.92,98573800.0
2018-12-01,36.89,37.33,27.52,29.21,29.14,82765300.0
2018-12-05,,,,,,
2018-12-06,,,,,,
2019-01-01,28.79,32.56,28.39,32.28,32.25,66218000.0
2019-02-01,32.33,33.91,30.33,31.27,31.24,86108700.0
2019-03-01,31.41,31.62,25.95,27.31,27.29,94143900.0
2019-03-06,,,,,,
2019-04-01,27.4,28.01,25.87,26.18,26.18,75119300.0
2019-04-26,26.03,26.65,25.87,26.18,26.18,8665904.0
