Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,83.73,83.85,82.94,83.3,83.3,8416300
2019-04-02,83.46,83.72,82.9,83.21,83.21,5606000
2019-04-03,83.27,83.66,82.75,83.18,83.18,6250700
2019-04-04,83.01,83.2,81.21,81.85,81.85,9787900
2019-04-05,81.97,82.16,81.11,81.15,81.15,9851300
2019-04-08,80.96,81.26,80.35,80.95,80.95,10101400
2019-04-09,80.57,80.98,80.26,80.8,80.8,10291300
2019-04-10,80.86,81.32,80.65,80.82,80.82,6578500
2019-04-11,80.93,80.93,79.39,79.84,79.84,9933700
2019-04-12,80.01,80.44,79.3,79.43,79.43,9699200
2019-04-15,79.31,79.49,78.47,78.53,78.53,13189400
2019-04-16,79.23,79.29,77.42,77.56,77.56,11957300
2019-04-17,77.61,77.62,73.75,73.92,73.92,32615900
2019-04-18,73.48,74.05,72.23,73.19,73.19,31267600
2019-04-22,73.16,73.81,72.74,73.46,73.46,13882100
2019-04-23,73.7,75.25,73.4,74.6,74.6,18398400
2019-04-24,74.73,75.11,73.98,74.73,74.73,12193800
2019-04-25,74.58,76.82,74.46,76.34,76.34,13351400
