Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,36.23,36.78,35.35,36.66,33.4,127259500.0
2014-05-19,,,,,,
2014-06-01,36.75,40.22,36.28,39.92,36.57,136644400.0
2014-07-01,40.05,40.74,38.72,38.75,35.5,104391500.0
2014-08-01,38.7,41.74,37.9,41.69,38.19,117474400.0
2014-08-18,,,,,,
2014-09-01,41.7,41.92,37.31,37.59,34.62,107320300.0
2014-10-01,37.59,38.04,31.35,35.4,32.6,157652000.0
2014-11-01,35.56,35.78,28.55,28.92,26.64,143424900.0
2014-11-17,,,,,,
2014-12-01,28.52,31.01,24.28,28.29,26.23,222836500.0
2015-01-01,28.06,28.8,24.81,26.6,24.66,158042300.0
2015-02-01,27.06,29.67,26.86,27.86,25.83,151513700.0
2015-02-13,,,,,,
2015-03-01,27.86,28.04,25.07,26.11,24.38,138185100.0
2015-04-01,26.3,31.45,26.23,31.1,29.04,147632900.0
2015-05-01,31.11,31.53,26.99,27.19,25.39,140555700.0
2015-05-18,,,,,,
2015-06-01,27.23,27.77,25.79,26.54,24.97,138372200.0
2015-07-01,26.59,26.61,20.44,21.01,19.77,194611300.0
2015-08-01,20.7,21.22,14.03,17.29,16.27,320199400.0
2015-08-17,,,,,,
2015-09-01,16.72,17.59,14.59,15.4,14.67,336769600.0
2015-10-01,15.79,20.44,15.0,18.38,17.51,283047900.0
2015-11-01,18.17,20.09,16.68,17.51,16.68,207569900.0
2015-11-16,,,,,,
2015-12-01,17.57,17.69,12.11,12.59,12.03,286188200.0
2016-01-01,12.56,13.0,7.08,9.73,9.29,496444300.0
2016-02-01,9.38,10.28,6.52,8.21,7.84,640109900.0
2016-02-12,,,,,,
2016-03-01,8.21,11.88,7.56,11.14,10.72,1066472400.0
2016-04-01,10.75,15.15,10.32,14.09,13.56,539763700.0
2016-05-01,14.02,14.08,11.28,13.07,12.57,415022800.0
2016-05-16,,,,,,
2016-06-01,12.88,15.45,12.22,15.01,14.5,445056200.0
2016-07-01,14.88,15.84,13.06,13.64,13.18,344953300.0
2016-08-01,13.42,16.85,12.47,15.02,14.51,407932300.0
2016-08-15,,,,,,
2016-09-01,14.96,16.9,13.8,15.81,15.32,385380700.0
2016-10-01,15.89,16.4,13.14,13.18,12.78,287368000.0
2016-11-01,13.37,18.55,12.36,18.06,17.51,448004900.0
2016-11-14,,,,,,
2016-12-01,19.12,19.28,17.21,17.31,16.83,294192600.0
2017-01-01,17.74,18.27,16.28,16.75,16.29,179118900.0
2017-02-01,17.03,17.36,15.59,16.0,15.56,249656100.0
2017-02-13,,,,,,
2017-03-01,16.16,16.65,14.3,15.8,15.41,338908500.0
2017-04-01,15.81,16.9,14.63,14.87,14.51,251495600.0
2017-05-01,14.87,15.12,12.75,13.02,12.7,302966100.0
2017-05-15,,,,,,
2017-06-01,13.05,13.41,11.2,11.85,11.6,343501000.0
2017-07-01,11.97,12.66,11.22,12.23,11.97,298449500.0
2017-08-01,12.23,13.11,10.55,11.12,10.89,330567600.0
2017-08-14,,,,,,
2017-09-01,11.14,13.95,11.03,13.56,13.33,267749300.0
2017-10-01,13.2,14.34,13.08,14.22,13.98,227041800.0
2017-11-01,14.37,16.59,14.35,14.84,14.59,307974800.0
2017-11-14,,,,,,
2017-12-01,15.0,17.35,14.38,16.93,16.7,233931000.0
2018-01-01,17.11,19.52,17.04,18.19,17.94,231496000.0
2018-02-01,18.25,18.52,14.51,14.52,14.32,300320900.0
2018-02-20,,,,,,
2018-03-01,14.55,16.42,14.27,16.13,15.96,251184500.0
2018-04-01,16.01,18.66,15.22,18.25,18.06,285825300.0
2018-05-01,18.14,22.12,17.98,21.43,21.2,289618800.0
2018-05-15,,,,,,
2018-06-01,21.41,21.84,19.71,20.86,20.69,269554200.0
2018-07-01,20.65,22.74,19.41,21.12,20.94,227704300.0
2018-08-01,20.82,22.03,18.98,21.51,21.33,233007300.0
2018-08-14,,,,,,
2018-09-01,21.68,23.67,19.83,23.28,23.14,186500000.0
2018-10-01,23.43,24.2,17.77,18.99,18.88,295078400.0
2018-11-01,19.03,19.31,15.49,16.69,16.59,298650500.0
2018-11-20,,,,,,
2018-12-01,17.62,17.84,12.57,14.34,14.3,296992600.0
2019-01-01,13.9,16.42,13.86,15.79,15.74,232336000.0
2019-02-01,15.88,17.33,14.83,16.6,16.55,266854900.0
2019-02-19,,,,,,
2019-03-01,16.68,17.79,16.03,16.71,16.71,238556600.0
2019-04-01,16.9,18.93,16.79,17.38,17.38,207790500.0
2019-04-26,17.75,17.76,17.13,17.38,17.38,10266757.0
