Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.78,43.95,42.75,43.53,43.53,25813300
2019-04-02,43.43,43.89,43.21,43.7,43.7,13101200
2019-04-03,44.25,44.64,44.04,44.38,44.38,11712100
2019-04-04,44.33,45.24,44.33,44.93,44.93,9119900
2019-04-05,45.13,45.38,44.73,44.9,44.9,8633900
2019-04-08,44.65,44.99,44.36,44.98,44.98,10898900
2019-04-09,44.65,44.67,43.95,44.26,44.26,7436200
2019-04-10,44.32,44.62,44.1,44.45,44.45,6703400
2019-04-11,44.74,45.08,44.47,44.8,44.8,7872700
2019-04-12,45.89,47.07,45.87,46.69,46.69,21641900
2019-04-15,46.47,46.79,45.92,46.08,46.08,11669000
2019-04-16,46.38,47.09,46.19,47.02,47.02,13358600
2019-04-17,47.85,48.55,47.13,48.26,48.26,19610000
2019-04-18,47.79,48.14,47.29,47.55,47.55,19906500
2019-04-22,47.37,47.45,46.98,47.29,47.29,7042100
2019-04-23,47.09,47.45,46.85,47.35,47.35,8163700
2019-04-24,47.13,47.61,47.05,47.38,47.38,9042500
2019-04-25,47.21,47.74,47.01,47.29,47.29,5585900
