Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,40.24,40.97,38.51,40.94,36.42,574362900.0
2014-05-13,,,,,,
2014-06-01,40.95,42.29,39.86,41.7,37.36,555767300.0
2014-07-01,41.86,45.71,41.05,43.16,38.67,731616500.0
2014-08-01,43.21,45.47,42.21,45.43,40.7,513919700.0
2014-08-19,,,,,,
2014-09-01,45.43,47.57,44.53,46.36,41.79,860827300.0
2014-10-01,46.27,46.97,42.1,46.95,42.32,853260900.0
2014-11-01,46.89,50.05,46.73,47.81,43.1,523005900.0
2014-11-18,,,,,,
2014-12-01,47.88,49.06,44.9,46.45,42.14,626771200.0
2015-01-01,46.66,47.91,40.35,40.4,36.65,918681100.0
2015-02-01,40.59,44.3,40.23,43.85,39.78,655957100.0
2015-02-17,,,,,,
2015-03-01,43.67,44.19,40.54,40.66,37.15,822551400.0
2015-04-01,40.6,49.54,40.12,48.64,44.44,873936700.0
2015-05-01,48.58,48.91,46.02,46.86,42.81,631475800.0
2015-05-19,,,,,,
2015-06-01,47.06,47.77,43.94,44.15,40.6,664339200.0
2015-07-01,44.46,47.4,43.32,46.7,42.94,725458100.0
2015-08-01,46.98,48.41,39.72,43.52,40.02,775228000.0
2015-08-18,,,,,,
2015-09-01,42.17,45.0,41.66,44.26,40.97,671417600.0
2015-10-01,44.75,54.37,43.75,52.64,48.72,856322800.0
2015-11-01,52.85,54.98,52.53,54.35,50.31,662559200.0
2015-11-17,,,,,,
2015-12-01,54.41,56.85,53.68,55.48,51.7,791895100.0
2016-01-01,54.32,55.39,49.1,55.09,51.34,927433200.0
2016-02-01,54.88,55.09,48.19,50.88,47.41,813425300.0
2016-02-16,,,,,,
2016-03-01,50.97,55.64,50.58,55.23,51.84,640548300.0
2016-04-01,55.05,56.77,49.35,49.87,46.81,697861300.0
2016-05-01,50.0,53.0,49.46,53.0,49.74,530284000.0
2016-05-17,,,,,,
2016-06-01,52.44,52.95,48.04,51.17,48.36,823351500.0
2016-07-01,51.13,57.29,50.39,56.68,53.57,647351200.0
2016-08-01,56.6,58.7,56.14,57.46,54.31,466729800.0
2016-08-16,,,,,,
2016-09-01,57.01,58.19,55.61,57.6,54.78,526196300.0
2016-10-01,57.41,61.37,56.32,59.92,56.98,614211700.0
2016-11-01,59.97,61.41,57.28,60.26,57.31,612034100.0
2016-11-15,,,,,,
2016-12-01,60.11,64.1,58.8,62.14,59.49,513256500.0
2017-01-01,62.79,65.91,61.95,64.65,61.9,493283800.0
2017-02-01,64.36,65.24,62.75,63.98,61.26,440701500.0
2017-02-14,,,,,,
2017-03-01,64.13,66.19,63.62,65.86,63.44,489169700.0
2017-04-01,65.81,69.14,64.85,68.46,65.94,433065900.0
2017-05-01,68.68,70.74,67.14,69.84,67.27,517218500.0
2017-05-16,,,,,,
2017-06-01,70.24,72.89,68.09,68.93,66.78,629584800.0
2017-07-01,69.33,74.42,68.02,72.7,70.43,469851200.0
2017-08-01,73.1,74.96,71.28,74.77,72.43,444041200.0
2017-08-15,,,,,,
2017-09-01,74.71,75.97,72.92,74.49,72.55,375983900.0
2017-10-01,74.71,86.2,73.71,83.18,81.01,449950000.0
2017-11-01,83.68,85.06,82.24,84.17,81.97,421229400.0
2017-11-15,,,,,,
2017-12-01,83.6,87.5,80.7,85.54,83.73,466203300.0
2018-01-01,86.13,95.45,85.5,95.01,93.0,574239800.0
2018-02-01,94.79,96.07,83.83,93.77,91.78,725663300.0
2018-02-14,,,,,,
2018-03-01,93.99,97.24,87.08,91.27,89.76,750754800.0
2018-04-01,90.47,97.9,87.51,93.52,91.97,668130700.0
2018-05-01,93.21,99.99,92.45,98.84,97.2,509281500.0
2018-05-16,,,,,,
2018-06-01,99.28,102.69,97.26,98.61,97.39,602585200.0
2018-07-01,98.1,111.15,98.0,106.08,104.77,569352300.0
2018-08-01,106.03,112.78,104.84,112.33,110.94,456611300.0
2018-08-15,,,,,,
2018-09-01,110.85,115.29,107.23,114.37,113.39,480255500.0
2018-10-01,114.75,116.18,100.11,106.81,105.9,927548000.0
2018-11-01,107.05,112.24,99.35,110.89,109.94,720228600.0
2018-11-14,,,,,,
2018-12-01,113.0,113.42,93.96,101.57,101.14,944314600.0
2019-01-01,99.55,107.9,97.2,104.43,103.99,714157300.0
2019-02-01,103.78,113.24,102.35,112.03,111.55,469095900.0
2019-02-20,,,,,,
2019-03-01,112.89,120.82,108.8,117.94,117.94,589078100.0
2019-04-01,118.95,131.37,118.1,129.89,129.89,392336800.0
2019-04-26,129.7,130.52,129.03,129.89,129.89,22610331.0
