Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,118.95,119.11,118.1,119.02,119.02,22789100
2019-04-02,119.06,119.48,118.52,119.19,119.19,18142300
2019-04-03,119.86,120.43,119.15,119.97,119.97,22860700
2019-04-04,120.1,120.23,118.38,119.36,119.36,20112800
2019-04-05,119.39,120.23,119.37,119.89,119.89,15826200
2019-04-08,119.81,120.02,118.64,119.93,119.93,15116200
2019-04-09,118.63,119.54,118.58,119.28,119.28,17612000
2019-04-10,119.76,120.35,119.54,120.19,120.19,16477200
2019-04-11,120.54,120.85,119.92,120.33,120.33,14209100
2019-04-12,120.64,120.98,120.37,120.95,120.95,19745100
2019-04-15,120.94,121.58,120.57,121.05,121.05,15792600
2019-04-16,121.64,121.65,120.1,120.77,120.77,14071800
2019-04-17,121.24,121.85,120.54,121.77,121.77,19300900
2019-04-18,122.19,123.52,121.3,123.37,123.37,27991000
2019-04-22,122.62,124.0,122.57,123.76,123.76,15648700
2019-04-23,124.1,125.58,123.83,125.44,125.44,24025500
2019-04-24,125.79,125.85,124.52,125.01,125.01,31257000
2019-04-25,130.06,131.37,128.83,129.15,129.15,37955200
