Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,122.23,123.44,117.15,121.37,108.94,13760000.0
2014-05-29,,,,,,
2014-06-01,121.39,125.9,120.31,124.05,111.99,15391800.0
2014-07-01,124.55,125.7,120.68,121.5,109.68,13396900.0
2014-08-01,121.0,124.5,118.51,123.63,111.61,9262600.0
2014-08-28,,,,,,
2014-09-01,124.0,128.69,123.12,123.29,111.93,10351200.0
2014-10-01,123.26,123.93,112.42,122.18,110.93,19834700.0
2014-11-01,122.62,126.8,120.37,126.02,114.41,9917800.0
2014-11-26,,,,,,
2014-12-01,125.14,128.96,119.58,125.62,114.68,15213000.0
2015-01-01,126.42,126.79,111.78,113.16,103.31,18306900.0
2015-02-01,114.01,124.8,113.21,121.0,110.47,13902300.0
2015-02-26,,,,,,
2015-03-01,121.0,129.58,120.83,127.0,116.62,19156500.0
2015-04-01,126.91,127.52,117.86,119.67,109.89,25787400.0
2015-05-01,120.45,124.35,118.8,120.88,111.0,15200900.0
2015-05-28,,,,,,
2015-06-01,121.49,128.7,119.56,124.93,115.38,13401700.0
2015-07-01,126.57,134.0,122.65,131.15,121.12,13938700.0
2015-08-01,131.1,133.15,112.86,120.67,111.44,16040300.0
2015-08-28,,,,,,
2015-09-01,115.47,123.89,111.86,121.95,113.28,23374700.0
2015-10-01,121.62,126.16,111.5,119.85,111.33,38175800.0
2015-10-28,,,,,,
2015-11-01,120.93,126.49,119.14,125.33,117.09,24751400.0
2015-12-01,126.13,127.39,118.64,121.18,113.21,19588800.0
2016-01-01,119.24,119.24,101.51,110.18,102.93,28581200.0
2016-02-01,109.78,111.09,100.08,102.55,95.8,24511700.0
2016-02-26,,,,,,
2016-03-01,103.38,113.39,103.17,111.0,104.39,21529100.0
2016-04-01,111.06,121.11,107.01,118.32,111.28,16355700.0
2016-05-01,118.92,120.1,112.41,119.5,112.39,15346200.0
2016-05-27,,,,,,
2016-06-01,119.5,120.79,108.04,118.23,111.85,20722900.0
2016-07-01,117.65,120.4,111.13,114.56,108.38,17387600.0
2016-08-01,114.43,118.75,111.82,118.33,111.95,17120800.0
2016-08-30,,,,,,
2016-09-01,118.68,118.92,113.58,116.1,110.49,16616000.0
2016-10-01,115.62,123.34,112.25,122.73,116.8,16372900.0
2016-11-01,123.33,144.38,120.31,143.94,136.99,27198100.0
2016-11-30,,,,,,
2016-12-01,144.74,158.35,144.34,154.17,147.46,22083900.0
2017-01-01,158.2,164.53,152.2,162.57,155.49,17654000.0
2017-02-01,163.99,170.81,160.52,166.97,159.7,17842600.0
2017-03-01,169.64,173.72,149.51,154.73,147.99,20127200.0
2017-03-02,,,,,,
2017-04-01,155.27,159.91,147.55,155.41,149.29,14983800.0
2017-05-01,156.88,163.5,155.19,156.47,150.31,15513100.0
2017-05-30,,,,,,
2017-06-01,157.56,164.03,155.1,161.95,156.31,14493400.0
2017-07-01,162.98,166.85,157.26,163.15,157.47,15424500.0
2017-08-01,163.88,166.7,147.74,147.86,142.71,13317000.0
2017-08-30,,,,,,
2017-09-01,148.66,161.78,141.12,161.04,156.21,15833000.0
2017-10-01,161.17,168.4,159.3,166.77,161.77,13854200.0
2017-11-01,167.63,171.89,155.77,168.95,163.88,14003700.0
2017-11-30,,,,,,
2017-12-01,169.59,176.62,163.27,170.99,166.6,11626300.0
2018-01-01,172.48,192.68,170.0,190.78,185.88,13184400.0
2018-02-01,190.17,197.37,175.31,189.84,184.97,14466300.0
2018-03-01,190.6,197.35,177.01,184.36,179.63,14096400.0
2018-03-02,,,,,,
2018-04-01,183.4,188.8,175.9,182.27,178.3,16732700.0
2018-05-01,181.42,187.07,170.58,172.08,168.33,14960400.0
2018-05-31,,,,,,
2018-06-01,174.25,180.13,167.32,170.15,167.21,20916100.0
2018-07-01,169.37,177.4,165.53,173.35,170.36,24196300.0
2018-08-01,174.29,178.2,171.86,177.15,174.09,15410700.0
2018-08-31,,,,,,
2018-09-01,177.97,180.77,164.28,164.54,162.62,16750000.0
2018-10-01,166.19,170.94,154.33,165.41,163.48,22181800.0
2018-11-01,166.08,170.75,161.35,169.01,167.04,19312600.0
2018-11-30,,,,,,
2018-12-01,170.32,171.01,133.78,143.13,142.3,17694200.0
2019-01-01,141.11,169.81,141.11,164.54,163.59,19667100.0
2019-02-01,164.86,176.11,160.59,173.06,172.06,16967000.0
2019-03-01,173.01,175.72,152.25,157.02,156.11,18798000.0
2019-03-01,,,,,,
2019-04-01,158.14,169.34,157.92,168.96,168.96,12356800.0
2019-04-26,167.81,169.12,167.16,168.96,168.96,425926.0
