Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.27,42.76,41.72,42.25,42.25,28073000
2019-04-02,42.08,42.79,41.75,42.44,42.44,21438100
2019-04-03,43.55,44.85,43.55,43.9,43.9,39097200
2019-04-04,42.36,43.33,42.25,42.89,42.89,37038400
2019-04-05,43.3,43.54,42.72,43.32,43.32,21119400
2019-04-08,42.18,43.14,42.12,42.9,42.9,24546800
2019-04-09,42.54,42.6,41.27,41.72,41.72,29055900
2019-04-10,41.69,42.44,41.51,42.17,42.17,23252200
2019-04-11,42.2,42.73,42.13,42.28,42.28,18163900
2019-04-12,42.85,43.2,41.81,42.01,42.01,21740400
2019-04-15,42.17,42.23,41.2,41.82,41.82,16932300
2019-04-16,42.26,42.93,42.08,42.76,42.76,19337500
2019-04-17,43.36,44.05,42.76,43.15,43.15,22092000
2019-04-18,43.2,43.53,42.79,43.4,43.4,16193600
2019-04-22,43.14,43.57,42.53,43.4,43.4,19447900
2019-04-23,43.37,43.47,42.72,42.77,42.77,21489400
2019-04-24,42.82,43.4,42.38,43.03,43.03,19637000
2019-04-25,43.62,44.65,42.69,42.75,42.75,28307800
