Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,28.63,28.88,28.39,28.47,28.47,4094100
2019-04-02,28.46,28.51,27.54,27.61,27.61,5482700
2019-04-03,27.69,27.72,26.62,26.98,26.98,8373000
2019-04-04,27.01,27.64,27.01,27.42,27.42,4425600
2019-04-05,27.47,27.82,27.46,27.63,27.63,3279500
2019-04-08,27.57,27.85,27.31,27.77,27.77,2298700
2019-04-09,27.63,27.71,27.07,27.12,27.12,3234400
2019-04-10,27.09,27.34,26.97,27.22,27.22,3010400
2019-04-11,27.19,27.43,26.85,27.01,27.01,2362600
2019-04-12,27.04,27.41,26.8,26.97,26.97,2987800
2019-04-15,26.99,27.1,26.59,26.93,26.93,5084700
2019-04-16,27.18,27.27,26.82,27.07,27.07,3200400
2019-04-17,27.25,27.25,26.44,26.73,26.73,4293000
2019-04-18,26.83,27.18,26.57,26.85,26.85,3806700
2019-04-22,26.7,26.86,26.46,26.72,26.72,2694800
2019-04-23,26.72,27.08,26.42,26.6,26.6,5564900
2019-04-24,26.67,26.79,26.33,26.44,26.44,3212900
2019-04-25,26.35,26.79,26.07,26.68,26.68,3710300
