Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,55.47,56.24,55.42,56.11,56.11,1708300
2019-04-02,56.03,56.56,55.65,56.5,56.5,1321000
2019-04-03,56.81,57.0,56.58,56.76,56.76,1016900
2019-04-04,56.84,57.09,56.67,56.73,56.73,1175300
2019-04-05,56.89,57.42,56.82,57.13,57.13,1469900
2019-04-08,57.1,57.31,56.52,57.29,57.29,2000900
2019-04-09,56.99,57.0,55.66,55.88,55.88,1569100
2019-04-10,55.96,56.69,55.7,56.5,56.5,1292900
2019-04-11,56.77,57.68,56.71,57.48,57.48,1906600
2019-04-12,57.96,58.81,57.93,58.6,58.6,2154200
2019-04-15,58.69,58.9,58.14,58.67,58.67,2460500
2019-04-16,58.92,59.64,58.9,59.56,59.56,1558900
2019-04-17,59.49,59.71,57.63,57.84,57.84,2661800
2019-04-18,57.76,57.94,56.6,56.92,56.92,2784600
2019-04-22,56.57,56.78,56.22,56.6,56.6,988500
2019-04-23,56.74,57.43,56.44,57.3,57.3,1569600
2019-04-24,57.22,57.51,56.79,56.98,56.98,1627500
2019-04-25,57.0,57.15,56.36,56.8,56.8,1518400
