Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,88.23,88.57,87.64,88.4,88.4,648900
2019-04-02,88.3,89.09,88.1,89.01,89.01,677800
2019-04-03,89.6,89.88,89.0,89.3,89.3,674100
2019-04-04,89.3,89.63,88.67,89.18,89.18,487800
2019-04-05,89.43,89.48,88.18,88.59,88.59,780400
2019-04-08,88.61,89.38,87.99,88.76,88.76,567400
2019-04-09,88.34,88.87,87.45,87.7,87.7,396800
2019-04-10,87.86,87.94,87.07,87.5,87.5,600400
2019-04-11,87.65,87.81,86.52,87.03,87.03,895800
2019-04-12,87.76,87.97,86.93,87.8,87.8,647200
2019-04-15,87.8,88.67,87.39,88.47,88.47,368200
2019-04-16,88.84,89.85,88.46,89.75,89.75,536800
2019-04-17,89.81,90.36,89.52,90.2,90.2,457100
2019-04-18,90.28,90.56,89.8,89.99,89.99,556400
2019-04-22,89.92,90.11,89.3,89.73,89.73,475500
2019-04-23,89.76,90.19,89.35,89.65,89.65,1251600
2019-04-24,89.89,91.29,87.97,89.18,89.18,940900
2019-04-25,88.85,89.58,88.22,89.44,89.44,734400
