Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,100.22,100.35,94.22,97.36,83.11,46773800.0
2014-05-29,,,,,,
2014-06-01,97.15,102.51,94.19,102.48,88.14,47961400.0
2014-07-01,102.44,102.46,93.8,93.89,80.75,39166700.0
2014-08-01,93.5,98.63,91.79,98.45,84.67,35522200.0
2014-08-27,,,,,,
2014-09-01,98.29,98.52,92.57,93.88,81.35,34904000.0
2014-10-01,93.68,100.51,90.33,100.22,86.85,49301800.0
2014-11-01,100.32,105.94,99.65,104.39,90.46,38527600.0
2014-11-25,,,,,,
2014-12-01,103.84,110.84,99.57,106.29,92.76,49164200.0
2015-01-01,106.63,112.64,105.19,109.24,95.33,40889100.0
2015-02-01,109.53,110.63,102.7,103.46,90.29,40522700.0
2015-02-25,,,,,,
2015-03-01,103.46,107.47,97.48,104.05,91.47,58143800.0
2015-04-01,103.94,106.63,100.25,100.93,88.72,35964700.0
2015-05-01,101.0,103.94,98.82,102.34,89.96,46497200.0
2015-05-27,,,,,,
2015-06-01,102.55,104.38,97.23,98.03,86.84,43251100.0
2015-07-01,98.41,106.32,97.92,105.2,93.19,44089000.0
2015-08-01,108.48,109.98,97.62,98.41,87.17,59044900.0
2015-08-26,,,,,,
2015-09-01,97.32,100.22,93.74,97.55,87.08,63433300.0
2015-10-01,97.79,105.85,95.84,102.66,91.64,40891800.0
2015-11-01,102.76,103.51,97.45,99.86,89.14,40959100.0
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-12-01,100.03,105.3,96.19,103.89,94.18,52531800.0
2016-01-01,102.87,111.86,102.2,111.71,101.27,57471600.0
2016-02-01,111.64,116.98,110.6,112.82,102.28,58339300.0
2016-02-24,,,,,,
2016-03-01,113.43,119.37,109.34,118.34,108.09,47212000.0
2016-04-01,118.09,119.18,112.44,117.58,107.4,35550800.0
2016-05-01,117.83,121.51,116.5,120.12,109.72,35918300.0
2016-05-26,,,,,,
2016-06-01,120.12,130.43,118.7,130.4,119.98,43686100.0
2016-07-01,131.27,131.98,125.55,128.29,118.04,38340700.0
2016-08-01,128.2,128.81,120.62,120.94,111.28,43583200.0
2016-08-26,,,,,,
2016-09-01,120.75,128.87,120.22,122.32,113.34,45487100.0
2016-10-01,122.46,128.46,117.52,128.0,118.61,40682800.0
2016-11-01,128.19,128.28,110.49,114.23,105.85,75970900.0
2016-11-22,,,,,,
2016-11-23,,,,,,
2016-12-01,113.52,120.75,112.63,119.46,112.4,44764400.0
2017-01-01,119.54,124.31,117.33,123.72,116.41,35369200.0
2017-02-01,122.72,131.48,122.09,131.0,123.26,33049400.0
2017-02-24,,,,,,
2017-03-01,129.56,133.28,127.78,128.37,121.71,44492200.0
2017-04-01,128.5,134.33,127.09,133.56,126.63,31775200.0
2017-05-01,134.14,141.83,132.78,141.44,134.1,39147300.0
2017-05-25,,,,,,
2017-06-01,141.35,144.87,138.15,140.13,133.8,44543300.0
2017-07-01,140.85,146.88,138.0,146.09,139.49,31538200.0
2017-08-01,145.88,151.28,145.38,150.51,143.71,31533000.0
2017-08-23,,,,,,
2017-09-01,151.0,151.6,144.7,146.55,140.84,33086700.0
2017-10-01,147.37,156.8,145.62,155.07,149.03,28551400.0
2017-11-01,155.67,159.28,148.37,158.04,151.89,36236300.0
2017-11-22,,,,,,
2017-12-01,158.39,159.4,152.68,156.19,151.06,34624400.0
2018-01-01,156.43,159.23,149.07,158.42,153.22,47303700.0
2018-02-01,158.61,159.64,145.1,152.15,147.15,43111700.0
2018-02-26,,,,,,
2018-03-01,152.7,164.41,151.34,163.33,159.09,53767300.0
2018-04-01,163.94,165.15,158.65,163.91,159.66,36501900.0
2018-05-01,163.69,166.62,155.22,165.81,161.51,40864900.0
2018-06-01,165.67,169.53,155.06,167.03,162.7,42366300.0
2018-06-04,,,,,,
2018-07-01,167.64,171.5,163.51,167.54,164.31,36100000.0
2018-08-01,167.07,175.65,165.45,170.1,166.82,31455300.0
2018-08-29,,,,,,
2018-09-01,170.24,174.81,164.25,167.6,165.45,39038400.0
2018-10-01,167.39,176.83,166.19,172.5,170.29,41071700.0
2018-11-01,173.52,183.65,166.75,181.71,179.38,44522900.0
2018-11-29,,,,,,
2018-12-01,180.41,184.2,164.78,173.82,172.67,52928900.0
2019-01-01,172.68,180.88,168.66,178.98,177.79,52224400.0
2019-02-01,178.37,189.39,176.13,187.72,186.47,38991300.0
2019-02-27,,,,,,
2019-03-01,187.52,195.55,186.57,193.32,193.32,41977000.0
2019-04-01,193.42,193.75,187.43,191.71,191.71,32631200.0
2019-04-26,191.4,193.39,191.29,191.71,191.71,1393069.0
