Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,24.69,25.02,22.22,22.89,21.38,105976600.0
2014-06-01,22.78,25.54,22.21,25.44,23.76,125872500.0
2014-06-10,,,,,,
2014-07-01,25.48,26.17,24.48,24.91,23.29,138665300.0
2014-08-01,25.14,27.4,24.77,27.09,25.33,108419100.0
2014-09-01,26.65,26.85,22.9,23.05,21.56,135629500.0
2014-09-09,,,,,,
2014-10-01,23.2,23.71,18.51,18.76,17.56,203111900.0
2014-11-01,18.85,20.07,17.75,18.4,17.22,198972900.0
2014-12-01,18.89,20.45,17.6,18.9,17.69,214563500.0
2014-12-03,,,,,,
2015-01-01,18.65,25.25,18.6,25.15,23.57,233466900.0
2015-02-01,24.74,26.7,23.59,26.33,24.68,134826300.0
2015-03-01,26.4,26.51,21.5,21.71,20.35,171719000.0
2015-03-10,,,,,,
2015-04-01,21.83,26.79,21.76,26.49,24.86,144240400.0
2015-05-01,26.17,27.9,25.3,27.24,25.56,114937600.0
2015-06-01,27.35,27.48,23.1,23.36,21.92,179025400.0
2015-06-09,,,,,,
2015-07-01,23.25,24.07,17.05,17.17,16.13,193368400.0
2015-08-01,17.09,18.92,15.39,17.07,16.03,200472200.0
2015-09-01,17.07,17.65,15.4,16.07,15.09,177172300.0
2015-09-08,,,,,,
2015-10-01,16.23,20.57,15.75,19.46,18.31,195633700.0
2015-11-01,19.32,19.76,16.65,18.41,17.32,140090000.0
2015-12-01,18.24,20.49,17.48,17.99,16.92,151110800.0
2015-12-09,,,,,,
2016-01-01,18.44,20.07,16.05,19.96,18.8,173409600.0
2016-02-01,20.02,26.4,19.6,25.83,24.33,276716600.0
2016-03-01,26.28,28.39,24.59,26.58,25.04,198758100.0
2016-03-08,,,,,,
2016-04-01,26.0,34.99,25.63,34.97,32.97,172981500.0
2016-05-01,35.06,35.75,30.86,32.41,30.56,195970800.0
2016-06-01,32.52,39.24,31.68,39.12,36.88,189268100.0
2016-06-07,,,,,,
2016-07-01,39.86,44.17,39.05,44.0,41.51,157217500.0
2016-08-01,43.78,46.07,37.76,38.24,36.08,149548900.0
2016-09-01,38.03,42.69,37.62,39.29,37.07,145093500.0
2016-09-13,,,,,,
2016-10-01,39.04,39.33,33.29,37.04,34.97,141263400.0
2016-11-01,37.7,38.87,30.19,32.44,30.63,185060600.0
2016-12-01,32.1,36.09,30.4,34.07,32.17,179831600.0
2016-12-06,,,,,,
2017-01-01,34.12,37.25,33.52,36.28,34.3,149733700.0
2017-02-01,35.74,38.01,33.78,34.24,32.37,119749600.0
2017-03-01,33.74,34.71,32.15,32.96,31.16,150235000.0
2017-03-07,,,,,,
2017-04-01,33.05,35.53,32.03,33.81,32.02,127562700.0
2017-05-01,33.65,34.81,32.12,34.15,32.34,108397200.0
2017-06-01,33.58,35.56,32.12,32.39,30.67,104501500.0
2017-06-06,,,,,,
2017-07-01,31.78,37.35,31.42,37.17,35.25,103620600.0
2017-08-01,37.1,38.91,35.22,38.34,36.36,111785100.0
2017-09-01,38.59,39.63,36.88,37.51,35.57,98852200.0
2017-09-13,,,,,,
2017-10-01,37.33,38.85,35.07,36.16,34.36,88098400.0
2017-11-01,36.36,37.59,35.49,36.99,35.15,88086700.0
2017-12-01,37.07,38.04,34.2,37.52,35.65,97687200.0
2017-12-07,,,,,,
2018-01-01,37.87,42.04,37.37,40.51,38.57,97533500.0
2018-02-01,40.23,41.02,35.98,38.2,36.37,129276600.0
2018-03-01,38.04,40.03,36.96,39.07,37.2,112827900.0
2018-03-07,,,,,,
2018-04-01,39.39,41.98,38.17,39.29,37.55,101463000.0
2018-05-01,39.02,40.84,38.67,38.93,37.2,85805000.0
2018-06-01,38.89,39.19,36.6,37.71,36.04,92464100.0
2018-06-06,,,,,,
2018-07-01,37.47,38.63,36.21,36.68,35.18,86362300.0
2018-08-01,36.5,36.82,30.73,31.03,29.76,132133100.0
2018-09-01,30.59,32.09,29.16,30.2,28.97,116401800.0
2018-09-12,,,,,,
2018-10-01,30.2,33.25,29.06,30.92,29.8,159017800.0
2018-11-01,31.51,33.7,30.93,32.34,31.17,103721400.0
2018-12-01,32.8,35.08,32.0,34.65,33.39,131825800.0
2018-12-05,,,,,,
2018-12-06,,,,,,
2019-01-01,34.45,35.18,30.67,34.11,33.15,178482500.0
2019-02-01,34.13,37.63,32.75,34.12,33.15,176905100.0
2019-03-01,33.81,36.03,32.46,35.77,34.76,332113100.0
2019-03-06,,,,,,
2019-04-01,35.84,36.83,31.17,31.46,30.69,277179600.0
2019-04-16,,,,,,
2019-04-26,31.87,31.94,31.37,31.46,31.46,7982810.0
