Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,359.0,368.33,358.51,366.96,366.96,7036100
2019-04-02,366.25,368.42,362.22,367.72,367.72,5158700
2019-04-03,369.26,373.41,366.19,369.75,369.75,5376600
2019-04-04,370.07,372.05,362.4,367.88,367.88,4627300
2019-04-05,369.0,369.8,364.66,365.49,365.49,3905500
2019-04-08,365.11,365.94,359.93,361.41,361.41,4653800
2019-04-09,360.54,366.74,359.0,364.71,364.71,5439200
2019-04-10,365.79,368.85,362.25,363.92,363.92,4545600
2019-04-11,365.0,370.12,360.81,367.65,367.65,6526900
2019-04-12,360.69,361.75,349.36,351.14,351.14,15646200
2019-04-15,350.71,352.21,342.27,348.87,348.87,8842300
2019-04-16,355.0,364.48,352.72,359.46,359.46,18740200
2019-04-17,365.05,368.76,350.6,354.74,354.74,18054100
2019-04-18,355.0,360.41,351.64,360.35,360.35,8353200
2019-04-22,359.7,377.69,359.0,377.34,377.34,11980500
2019-04-23,375.45,384.8,374.71,381.89,381.89,10089800
2019-04-24,381.07,381.9,373.27,374.23,374.23,6541900
2019-04-25,374.49,374.76,365.7,368.33,368.33,6247800
