Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,28.32,28.67,28.13,28.18,28.18,2947800
2019-04-02,28.32,28.36,28.06,28.22,28.22,2115300
2019-04-03,28.14,28.24,27.91,28.07,28.07,2109900
2019-04-04,28.18,28.19,27.78,27.91,27.91,1684300
2019-04-05,27.95,28.28,27.89,28.26,28.26,2469700
2019-04-08,28.29,28.37,27.96,28.01,28.01,2687600
2019-04-09,28.04,28.16,27.93,27.96,27.96,1776100
2019-04-10,28.06,28.19,27.78,27.87,27.87,2176300
2019-04-11,27.89,28.06,27.81,28.04,28.04,2040600
2019-04-12,28.07,28.08,27.84,28.07,28.07,2056000
2019-04-15,28.14,28.21,27.93,27.98,27.98,2041300
2019-04-16,27.95,28.05,27.51,27.6,27.6,2511500
2019-04-17,27.66,27.73,27.45,27.59,27.59,2158600
2019-04-18,27.6,27.76,27.55,27.56,27.56,1878800
2019-04-22,27.38,27.47,27.11,27.31,27.31,2067300
2019-04-23,27.37,27.47,27.08,27.3,27.3,3440900
2019-04-24,27.34,27.61,27.27,27.51,27.51,2248500
2019-04-25,27.38,27.87,27.29,27.84,27.84,2643400
