Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.67,42.92,41.61,41.78,41.78,3437100
2019-04-02,41.92,42.56,41.83,42.36,42.36,3050500
2019-04-03,42.35,43.02,42.18,42.34,42.34,2536900
2019-04-04,42.56,42.56,42.06,42.24,42.24,2195600
2019-04-05,42.33,42.46,41.68,42.07,42.07,2432200
2019-04-08,42.0,42.09,41.54,41.95,41.95,2143000
2019-04-09,41.8,42.19,41.8,42.16,42.16,2458700
2019-04-10,42.29,42.8,42.17,42.26,42.26,2410800
2019-04-11,42.23,42.45,42.05,42.41,42.41,2309700
2019-04-12,42.48,42.54,42.21,42.27,42.27,1960400
2019-04-15,42.36,42.56,42.14,42.29,42.29,1863800
2019-04-16,42.24,42.45,41.99,42.03,42.03,2100400
2019-04-17,42.0,42.09,40.79,41.18,41.18,6153200
2019-04-18,41.28,41.47,40.84,41.0,41.0,3146400
2019-04-22,41.02,41.06,40.58,40.89,40.89,2345500
2019-04-23,41.05,41.53,40.89,41.34,41.34,3154800
2019-04-24,41.4,41.61,41.12,41.35,41.35,1756600
2019-04-25,41.13,41.34,40.8,40.89,40.89,2267800
