Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,69.96,70.59,69.5,70.38,69.99,1966800
2019-04-02,70.22,70.93,69.7,70.76,70.37,2232300
2019-04-03,71.11,72.57,70.93,72.41,72.01,4120000
2019-04-04,72.06,72.22,70.93,71.49,71.49,2318600
2019-04-05,71.62,72.4,71.6,72.15,72.15,1717300
2019-04-08,72.09,73.03,71.78,72.97,72.97,1797100
2019-04-09,72.49,72.94,72.31,72.78,72.78,1926700
2019-04-10,72.67,74.4,72.66,74.25,74.25,2650900
2019-04-11,74.77,75.7,74.47,75.49,75.49,2785800
2019-04-12,76.1,76.21,75.18,75.63,75.63,2557500
2019-04-15,75.63,76.82,75.29,76.16,76.16,2080100
2019-04-16,76.7,77.71,76.33,77.43,77.43,2432400
2019-04-17,77.35,78.35,77.04,77.67,77.67,1673700
2019-04-18,77.7,77.96,76.92,77.69,77.69,1557400
2019-04-22,77.36,77.61,76.54,76.7,76.7,1707600
2019-04-23,77.11,77.11,75.85,76.64,76.64,2465600
2019-04-24,76.79,76.85,73.06,73.5,73.5,4488800
2019-04-25,73.75,73.86,71.92,73.51,73.51,4195900
