Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,60.27,61.92,58.61,60.4,54.43,17395500.0
2014-06-01,60.46,64.97,60.2,64.21,57.86,19830500.0
2014-06-04,,,,,,
2014-07-01,64.51,68.11,63.11,66.89,60.61,24482200.0
2014-08-01,66.8,69.44,64.06,69.35,62.84,24435100.0
2014-09-01,69.54,70.84,67.62,68.03,61.64,24843900.0
2014-09-03,,,,,,
2014-10-01,68.1,68.7,60.78,66.3,60.36,33630100.0
2014-11-01,66.23,69.15,65.2,67.73,61.66,17755900.0
2014-12-01,67.49,69.0,64.72,67.4,61.36,18243000.0
2014-12-03,,,,,,
2014-12-11,,,,,,
2015-01-01,67.68,68.62,61.1,65.38,60.11,27867200.0
2015-02-01,65.95,71.84,65.46,69.83,64.2,23381000.0
2015-03-01,70.08,72.72,68.17,69.65,64.04,22941200.0
2015-03-04,,,,,,
2015-04-01,69.36,74.27,68.88,73.15,67.57,25947500.0
2015-05-01,73.64,76.63,73.3,74.55,68.86,21129300.0
2015-06-01,74.79,78.88,73.77,76.46,70.63,26240500.0
2015-06-03,,,,,,
2015-07-01,77.36,79.25,73.92,76.49,71.0,24599700.0
2015-08-01,76.77,78.7,65.17,69.84,64.83,27343000.0
2015-09-01,67.96,71.8,66.05,68.16,63.27,27616900.0
2015-09-02,,,,,,
2015-10-01,68.14,72.09,64.77,70.39,65.69,31684900.0
2015-11-01,70.8,76.11,70.6,74.94,69.93,22940100.0
2015-12-01,75.45,75.77,68.5,72.09,67.27,29762600.0
2015-12-02,,,,,,
2016-01-01,70.29,71.13,58.74,62.08,58.21,38763800.0
2016-02-01,61.57,62.02,54.38,59.38,55.68,37768400.0
2016-03-01,60.04,66.69,60.04,65.17,61.11,27509300.0
2016-03-02,,,,,,
2016-04-01,64.52,73.0,62.67,71.08,67.04,29769400.0
2016-05-01,71.75,74.86,68.04,74.1,69.88,26181600.0
2016-06-01,72.78,74.36,61.32,66.26,62.49,32338400.0
2016-06-01,,,,,,
2016-07-01,65.76,69.28,61.86,67.59,64.06,26564300.0
2016-08-01,67.57,71.15,65.92,70.59,66.9,18572000.0
2016-08-31,,,,,,
2016-09-01,70.97,71.66,66.4,67.99,64.78,20739300.0
2016-10-01,67.73,72.91,67.58,72.42,69.0,24641700.0
2016-11-01,72.88,83.09,71.62,82.15,78.27,33139900.0
2016-11-30,,,,,,
2016-12-01,82.56,90.96,81.62,89.05,85.25,30680900.0
2017-01-01,90.34,91.14,81.92,82.96,79.42,26570100.0
2017-02-01,83.76,88.99,81.96,87.35,83.62,18291400.0
2017-03-01,88.77,90.67,83.17,86.58,82.88,27661100.0
2017-03-01,,,,,,
2017-04-01,86.47,92.29,84.93,90.0,86.53,19704100.0
2017-05-01,90.49,91.6,85.41,87.44,84.07,21102900.0
2017-05-31,,,,,,
2017-06-01,87.76,98.72,86.81,97.21,93.87,23628900.0
2017-07-01,97.67,99.3,86.57,87.51,84.5,29823700.0
2017-08-01,88.16,90.51,86.76,88.5,85.46,25260800.0
2017-08-30,,,,,,
2017-09-01,88.67,92.64,85.69,91.93,89.19,23779300.0
2017-10-01,91.81,97.11,91.06,93.52,90.74,30173900.0
2017-11-01,93.93,99.07,91.2,97.78,94.87,18564900.0
2017-11-30,,,,,,
2017-12-01,98.13,101.46,95.62,99.89,97.33,17799500.0
2018-01-01,104.84,108.91,98.82,105.39,102.69,23948700.0
2018-02-01,104.82,109.89,94.39,105.87,103.16,26431100.0
2018-03-01,106.05,110.81,99.39,103.13,100.49,23517400.0
2018-03-08,,,,,,
2018-04-01,104.17,109.15,99.9,106.75,104.43,25031700.0
2018-05-01,106.5,109.69,101.72,102.52,100.29,20939800.0
2018-06-01,103.89,109.08,102.85,102.89,100.65,22365800.0
2018-06-07,,,,,,
2018-07-01,101.77,115.61,101.72,109.22,107.26,20014100.0
2018-08-01,109.73,112.73,106.68,107.46,105.54,22606100.0
2018-09-01,107.46,109.25,101.95,102.13,100.3,28358800.0
2018-09-13,,,,,,
2018-10-01,102.44,107.24,87.98,94.07,92.87,38025600.0
2018-11-01,94.53,99.61,92.92,99.23,97.96,19007700.0
2018-12-01,100.82,101.5,75.96,83.59,82.52,35670700.0
2018-12-13,,,,,,
2019-01-01,81.96,93.51,81.75,88.46,87.88,29017700.0
2019-02-01,88.81,93.77,88.12,93.2,92.59,20328200.0
2019-03-01,93.77,96.9,87.22,90.41,89.82,27484500.0
2019-03-07,,,,,,
2019-04-01,90.98,98.2,90.92,97.72,97.72,24701200.0
2019-04-26,97.38,97.93,97.03,97.72,97.72,1131794.0
