Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,90.98,93.09,90.92,92.7,92.7,1101200
2019-04-02,92.55,93.53,91.9,93.28,93.28,915500
2019-04-03,94.12,94.81,93.83,94.13,94.13,869000
2019-04-04,94.38,95.32,94.23,94.74,94.74,686400
2019-04-05,95.08,95.37,94.41,95.06,95.06,1156900
2019-04-08,95.01,95.24,94.06,94.4,94.4,891400
2019-04-09,93.87,93.87,92.82,93.43,93.43,740500
2019-04-10,93.45,93.85,92.57,93.4,93.4,938100
2019-04-11,93.95,94.66,92.85,93.63,93.63,1028200
2019-04-12,96.53,96.53,94.15,94.55,94.55,1224300
2019-04-15,94.48,94.64,93.52,94.04,94.04,830000
2019-04-16,94.07,95.88,94.07,95.62,95.62,1020300
2019-04-17,93.99,94.0,92.0,92.42,92.42,2724400
2019-04-18,92.69,92.84,91.56,91.87,91.87,1870700
2019-04-22,91.7,92.5,91.21,91.87,91.87,1286300
2019-04-23,92.84,96.42,92.18,95.94,95.94,2674500
2019-04-24,95.94,98.2,95.13,97.73,97.73,2242800
2019-04-25,97.56,98.14,96.04,97.57,97.57,1297800
