Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,12.6,12.67,12.55,12.61,12.61,505800
2019-04-02,12.64,12.67,12.48,12.48,12.48,909400
2019-04-03,12.57,12.75,12.52,12.55,12.55,607900
2019-04-04,12.56,12.7,12.56,12.58,12.58,1011800
2019-04-05,12.59,12.71,12.56,12.64,12.64,339900
2019-04-08,12.66,12.7,12.58,12.63,12.63,347600
2019-04-09,12.58,12.66,12.57,12.63,12.63,291900
2019-04-10,12.66,12.76,12.63,12.76,12.76,238800
2019-04-11,12.75,12.76,12.63,12.64,12.64,333600
2019-04-12,12.68,12.79,12.68,12.75,12.75,387400
2019-04-15,12.71,12.81,12.59,12.65,12.65,820000
2019-04-16,12.69,12.84,12.64,12.75,12.75,648700
2019-04-17,12.75,12.94,12.68,12.71,12.71,528000
2019-04-18,12.73,12.73,12.45,12.63,12.63,370200
2019-04-22,12.6,12.62,12.37,12.52,12.52,296700
2019-04-23,12.54,12.69,12.54,12.6,12.6,428600
2019-04-24,12.6,12.64,12.57,12.62,12.62,399500
2019-04-25,12.6,12.6,12.33,12.46,12.46,312900
