Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,73.51,73.52,72.03,72.73,72.73,2046300
2019-04-02,72.55,72.64,71.71,72.55,72.55,1995700
2019-04-03,72.46,72.46,71.75,71.95,71.95,1865900
2019-04-04,72.02,72.07,71.35,71.79,71.79,1212900
2019-04-05,71.65,72.3,71.61,72.28,72.28,1122800
2019-04-08,72.2,72.43,71.72,72.0,72.0,1066600
2019-04-09,72.0,72.08,71.08,71.19,71.19,1373100
2019-04-10,71.53,71.96,71.33,71.76,71.76,1374600
2019-04-11,71.95,72.29,71.24,71.4,71.4,1866600
2019-04-12,71.35,71.35,70.72,71.31,71.31,1889000
2019-04-15,71.39,71.45,70.93,71.38,71.38,1723700
2019-04-16,71.4,71.44,69.02,69.34,69.34,1949500
2019-04-17,69.27,69.3,67.77,67.77,67.77,2247100
2019-04-18,67.96,68.72,67.96,68.53,68.53,1764600
2019-04-22,68.49,68.54,67.22,67.89,67.89,1515200
2019-04-23,68.3,69.15,68.05,69.06,69.06,1640000
2019-04-24,69.31,70.29,69.12,69.92,69.92,1422100
2019-04-25,69.71,70.37,69.34,70.08,70.08,904500
