Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,70.01,70.4,69.62,70.35,69.48,2008400
2019-04-02,70.49,70.61,70.06,70.21,69.34,1795800
2019-04-03,70.39,70.39,68.88,69.32,68.46,2167700
2019-04-04,69.36,69.49,68.83,69.48,68.62,1686600
2019-04-05,69.51,70.83,69.3,70.54,69.67,2202300
2019-04-08,70.54,70.8,70.22,70.52,69.65,1598000
2019-04-09,70.34,70.34,69.51,69.87,69.0,1428600
2019-04-10,70.1,70.52,69.68,69.81,68.94,1391300
2019-04-11,69.77,70.08,69.49,70.04,69.17,1146300
2019-04-12,70.23,70.76,70.12,70.6,69.72,1468400
2019-04-15,70.41,70.72,69.72,70.09,69.22,1589300
2019-04-16,70.3,70.52,70.06,70.24,69.37,1459500
2019-04-17,70.34,70.5,69.71,69.73,68.87,1525400
2019-04-18,69.62,69.84,69.0,69.14,68.28,1695600
2019-04-22,69.41,70.01,68.98,69.93,69.06,2011200
2019-04-23,70.0,70.09,69.26,69.87,69.0,1622100
2019-04-24,70.0,70.14,69.64,70.03,69.16,1631100
2019-04-25,69.82,70.53,69.58,69.76,68.9,1515700
