Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,40.72,42.35,40.49,42.02,38.96,267018700.0
2014-06-01,41.96,43.19,39.93,40.53,37.58,325033500.0
2014-07-01,40.41,41.36,39.86,40.39,37.45,279906500.0
2014-07-07,,,,,,
2014-08-01,40.19,42.04,39.53,41.53,38.62,206012100.0
2014-09-01,41.6,42.09,38.14,38.28,35.6,412463900.0
2014-10-01,38.32,39.24,35.82,39.05,36.31,355956700.0
2014-10-06,,,,,,
2014-11-01,39.02,42.51,38.76,42.41,39.56,210679600.0
2014-12-01,42.01,46.71,39.92,44.97,41.95,352611500.0
2015-01-01,45.02,45.33,41.82,41.89,39.08,314318400.0
2015-01-05,,,,,,
2015-02-01,42.21,44.37,41.56,43.82,40.99,215751800.0
2015-03-01,43.81,44.94,41.26,43.15,40.36,343803100.0
2015-04-01,42.99,44.9,42.21,43.62,40.8,278152300.0
2015-04-02,,,,,,
2015-05-01,43.44,44.85,43.0,43.49,40.82,181985900.0
2015-06-01,43.84,45.24,40.11,40.3,37.83,434706100.0
2015-07-01,40.61,41.02,38.44,39.94,37.49,301140700.0
2015-07-06,,,,,,
2015-08-01,39.95,40.05,35.14,37.09,34.94,302190900.0
2015-09-01,36.33,38.52,35.24,36.12,34.03,391499800.0
2015-10-01,36.23,39.04,35.64,38.84,36.59,317324200.0
2015-10-09,,,,,,
2015-11-01,39.05,40.64,37.22,38.97,36.86,294565100.0
2015-12-01,39.09,39.39,36.1,36.53,34.55,372685100.0
2016-01-01,36.01,36.31,33.13,36.31,34.34,391864100.0
2016-01-04,,,,,,
2016-02-01,35.9,37.65,34.47,36.78,34.93,305045500.0
2016-03-01,37.15,42.0,37.04,40.91,38.85,360622000.0
2016-04-01,40.68,41.49,39.37,39.86,37.86,218184600.0
2016-04-12,,,,,,
2016-05-01,39.9,40.43,38.56,40.2,38.32,206598100.0
2016-06-01,40.06,41.16,38.08,40.93,39.02,433419800.0
2016-07-01,40.78,41.91,40.02,41.04,39.12,233235100.0
2016-07-01,,,,,,
2016-08-01,40.91,41.64,40.58,41.22,39.44,222720800.0
2016-09-01,40.98,41.42,38.71,39.28,37.58,295418000.0
2016-10-01,39.2,39.34,37.62,38.42,36.76,218343100.0
2016-10-07,,,,,,
2016-11-01,38.58,40.74,37.98,40.19,38.6,262206600.0
2016-12-01,40.11,41.14,37.64,38.45,36.93,307175600.0
2017-01-01,38.45,40.39,38.3,40.11,38.53,244699100.0
2017-01-03,,,,,,
2017-02-01,40.22,43.26,39.68,42.59,41.07,224205200.0
2017-03-01,42.75,46.99,42.25,44.61,43.02,359649800.0
2017-04-01,44.68,45.05,43.76,44.96,43.35,216193400.0
2017-04-10,,,,,,
2017-05-01,45.01,45.78,43.6,45.39,43.96,218152500.0
2017-06-01,45.52,51.85,43.74,50.14,48.56,389200100.0
2017-07-01,50.05,51.36,48.77,49.93,48.35,220653800.0
2017-07-17,,,,,,
2017-08-01,50.15,50.52,47.98,50.33,48.93,216473200.0
2017-09-01,50.35,53.14,47.64,48.35,47.0,405925500.0
2017-10-01,48.72,51.28,48.0,50.9,49.48,314059300.0
2017-10-10,,,,,,
2017-11-01,51.1,51.17,48.2,49.06,47.88,246017700.0
2017-12-01,49.05,50.71,47.0,47.28,46.14,364528300.0
2018-01-01,47.57,52.79,46.17,51.59,50.35,348532000.0
2018-01-09,,,,,,
2018-02-01,51.36,51.98,45.92,50.67,49.64,290684300.0
2018-03-01,50.96,53.48,44.51,45.75,44.82,435423200.0
2018-04-01,45.65,47.29,44.04,45.67,44.74,286580100.0
2018-04-16,,,,,,
2018-05-01,45.39,47.54,44.49,46.72,45.96,253266300.0
2018-06-01,47.08,48.67,42.57,44.06,43.35,468930400.0
2018-07-01,43.96,49.17,43.77,47.68,46.91,424287700.0
2018-07-16,,,,,,
2018-08-01,47.91,49.7,46.63,48.58,47.98,310534600.0
2018-09-01,48.36,52.11,47.33,51.56,50.92,423450600.0
2018-10-01,51.22,51.99,46.34,48.84,48.24,444353400.0
2018-10-15,,,,,,
2018-11-01,48.96,51.45,46.79,48.76,48.35,371551400.0
2018-12-01,49.44,50.22,42.4,45.15,44.77,539063900.0
2019-01-01,44.48,50.5,44.41,50.23,49.81,324807400.0
2019-01-15,,,,,,
2019-02-01,50.52,53.03,49.82,52.13,51.9,257843100.0
2019-03-01,52.5,54.38,51.0,53.71,53.47,370697000.0
2019-04-01,53.88,55.53,53.33,55.41,55.16,176501200.0
2019-04-10,,,,,,
2019-04-26,55.22,55.49,55.01,55.41,55.41,6978701.0
