Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,148.99,151.2,144.38,147.95,147.95,12023800
2014-06-01,148.43,154.21,147.21,150.6,150.6,10781500
2014-07-01,150.03,156.37,145.51,150.0,150.0,15916900
2014-08-01,150.18,157.18,148.74,155.98,155.98,11681700
2014-09-01,156.65,158.63,149.51,150.36,150.36,11977600
2014-10-01,149.97,177.0,146.22,175.88,175.88,19250300
2014-11-01,175.65,183.63,175.01,182.74,182.74,13455500
2014-12-01,182.72,196.8,180.69,192.62,192.62,14630900
2015-01-01,192.86,195.03,179.0,187.36,187.36,16945400
2015-02-01,187.7,214.15,184.76,208.13,208.13,14616200
2015-03-01,209.12,220.11,202.44,216.24,216.24,12505800
2015-04-01,216.64,230.77,212.15,217.83,217.83,12614700
2015-05-01,219.0,226.0,216.41,219.53,219.53,10280100
2015-06-01,220.8,233.84,218.82,225.98,225.98,10812400
2015-07-01,228.01,247.0,227.77,240.31,240.31,17399600
2015-08-01,241.3,258.15,226.05,240.07,240.07,14580900
2015-09-01,235.69,255.57,230.91,250.0,250.0,17080900
2015-10-01,251.0,277.96,246.12,276.26,276.26,15706600
2015-11-01,276.38,277.66,258.64,263.87,263.87,12274500
2015-12-01,264.96,267.19,246.88,253.42,253.42,19223700
2016-01-01,248.45,261.27,225.12,260.9,260.9,19261200
2016-02-01,260.32,269.0,226.51,260.32,260.32,24228300
2016-03-01,263.18,277.68,258.55,273.66,273.66,17231600
2016-04-01,273.19,277.83,260.16,262.68,262.68,14822500
2016-05-01,262.75,269.68,248.02,264.43,264.43,15579600
2016-06-01,264.34,274.79,255.01,271.1,271.1,14617600
2016-07-01,271.88,292.84,266.81,290.63,290.63,14435100
2016-08-01,290.63,291.68,276.67,279.95,279.95,12134500
2016-09-01,280.7,285.67,272.42,280.11,280.11,17066600
2016-10-01,279.43,283.21,251.62,264.44,264.44,19103500
2016-11-01,263.9,279.36,250.07,274.5,274.5,19187900
2016-12-01,273.62,286.57,272.17,278.41,278.41,13446300
2017-01-01,280.0,283.97,259.15,262.27,262.27,15511500
2017-02-01,262.19,277.4,253.54,271.71,271.71,21983300
2017-03-01,273.24,276.75,267.04,269.84,269.84,19094900
2017-04-01,266.0,270.1,245.01,248.15,248.15,24208200
2017-05-01,248.44,260.31,234.14,242.08,242.08,34883900
2017-06-01,243.54,246.51,215.76,218.74,218.74,29151600
2017-07-01,218.74,220.89,169.43,204.3,204.3,58572500
2017-08-01,204.44,211.02,186.82,196.13,196.13,32445100
2017-09-01,197.19,219.98,194.06,215.37,215.37,24169600
2017-10-01,215.98,217.91,190.0,210.95,210.95,23750900
2017-11-01,211.24,241.63,205.65,236.21,236.21,18557200
2017-12-01,235.0,263.63,228.34,240.54,240.54,21315300
2018-01-01,241.34,279.23,241.29,264.69,264.69,18276000
2018-02-01,263.01,266.47,238.41,244.19,244.19,22624200
2018-03-01,243.63,254.11,237.7,247.38,247.38,15593600
2018-04-01,245.48,265.0,217.64,256.07,256.07,22857700
2018-05-01,254.09,280.4,254.09,269.41,269.41,16389400
2018-06-01,269.91,290.35,269.26,273.57,273.57,13954500
2018-07-01,272.45,310.0,270.97,306.0,306.0,14182600
2018-08-01,302.66,335.98,301.02,335.42,335.42,11911300
2018-09-01,335.52,351.65,329.99,347.32,347.32,10968400
2018-10-01,349.38,349.67,314.14,320.75,320.75,17071900
2018-11-01,319.11,363.2,318.33,346.78,346.78,14949700
2018-12-01,350.37,356.4,326.71,344.33,344.33,13509700
2019-01-01,335.82,353.74,329.86,344.66,344.66,14562000
2019-02-01,346.08,394.42,342.77,371.96,371.96,15640900
2019-03-01,373.1,391.78,361.54,388.3,388.3,11830200
2019-04-01,391.4,414.63,367.12,379.96,379.96,13112800
2019-04-26,380.63,380.84,374.03,379.96,379.96,1085148
