Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,66.89,67.28,66.54,67.18,67.18,2809900
2019-04-02,67.21,67.63,66.19,66.63,66.63,3312400
2019-04-03,67.23,67.23,65.84,66.06,66.06,3056700
2019-04-04,66.11,66.62,65.57,66.44,66.44,2855700
2019-04-05,66.66,68.36,66.65,68.04,68.04,3808400
2019-04-08,68.35,68.83,67.86,68.37,68.37,2527700
2019-04-09,68.03,68.18,66.98,67.28,67.28,3301400
2019-04-10,67.48,67.7,66.99,67.18,67.18,3645800
2019-04-11,66.76,67.57,66.44,67.18,67.18,2956400
2019-04-12,66.04,66.45,64.04,65.33,65.33,10070600
2019-04-15,65.16,65.25,62.77,63.36,63.36,11793400
2019-04-16,63.52,64.71,63.18,63.67,63.67,11094100
2019-04-17,64.02,64.6,62.53,62.65,62.65,6554000
2019-04-18,62.65,62.8,61.79,61.82,61.82,8480700
2019-04-22,62.35,63.31,62.05,63.05,63.05,5873700
2019-04-23,62.93,62.95,61.75,62.36,62.36,10307300
2019-04-24,59.81,62.12,59.76,62.0,62.0,28235200
2019-04-25,60.77,63.42,60.26,61.84,61.84,16466400
