Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.75,81.03,80.08,80.93,80.93,1723500
2019-04-02,80.89,81.08,80.39,81.02,81.02,2425200
2019-04-03,81.43,81.59,80.62,81.08,81.08,2948300
2019-04-04,81.26,81.29,80.05,80.4,80.4,1872300
2019-04-05,80.67,80.94,80.32,80.74,80.74,2021700
2019-04-08,80.73,80.93,79.97,80.82,80.82,1468700
2019-04-09,80.53,81.05,80.1,80.75,80.75,1348800
2019-04-10,80.68,81.29,80.67,81.14,81.14,976100
2019-04-11,81.39,81.49,81.0,81.35,81.35,1422800
2019-04-12,81.64,82.21,81.26,82.16,82.16,1009800
2019-04-15,82.17,82.48,81.93,82.37,82.37,896100
2019-04-16,82.64,82.64,81.36,81.59,81.59,1262500
2019-04-17,81.79,82.02,81.51,81.56,81.56,1189600
2019-04-18,82.12,82.12,81.1,81.59,81.59,1224800
2019-04-22,81.32,81.69,81.19,81.61,81.61,1080600
2019-04-23,81.41,83.61,81.33,83.58,83.58,1913000
2019-04-24,83.65,84.02,83.3,83.48,83.48,1415500
2019-04-25,83.44,83.5,82.49,83.23,83.23,1569100
