Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,59.32,59.32,58.12,58.54,58.54,2898800
2019-04-02,58.69,59.1,58.27,59.05,59.05,2768300
2019-04-03,59.1,59.12,58.54,58.83,58.83,2089700
2019-04-04,59.1,59.5,58.71,59.3,59.3,3443900
2019-04-05,59.26,59.7,59.01,59.7,59.7,2611800
2019-04-08,59.55,59.73,59.09,59.25,59.25,1737900
2019-04-09,59.18,59.79,59.01,59.6,59.6,2972400
2019-04-10,59.75,60.36,59.33,59.47,59.47,2297300
2019-04-11,59.55,59.81,59.32,59.53,59.53,1970500
2019-04-12,59.42,59.92,58.93,59.89,59.89,2436900
2019-04-15,59.99,60.29,59.77,59.99,59.99,1889600
2019-04-16,60.01,60.32,58.52,58.75,58.75,2022300
2019-04-17,58.69,58.82,58.35,58.71,58.71,2624000
2019-04-18,58.95,60.31,57.87,58.87,58.87,7421500
2019-04-22,58.7,58.94,58.17,58.44,58.44,3138200
2019-04-23,58.26,58.69,57.7,58.12,58.12,3724500
2019-04-24,58.13,58.98,58.13,58.7,58.7,1924200
2019-04-25,58.51,59.25,58.39,59.0,59.0,1704400
