Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,86.0,88.48,84.95,88.33,76.25,76849900.0
2014-06-01,88.12,90.24,86.71,89.34,77.12,82689300.0
2014-06-04,,,,,,
2014-07-01,89.12,93.09,88.07,88.1,76.62,91149100.0
2014-08-01,87.71,93.51,87.46,92.49,80.43,90996100.0
2014-09-01,92.62,94.21,90.58,93.09,80.95,86888800.0
2014-09-03,,,,,,
2014-10-01,92.67,96.74,89.82,96.17,84.23,126693700.0
2014-11-01,95.94,100.7,95.5,100.1,87.67,75409800.0
2014-12-01,98.56,100.57,92.43,94.56,82.82,94377400.0
2014-12-03,,,,,,
2015-01-01,94.93,99.0,92.94,93.78,82.68,111856800.0
2015-02-01,93.86,100.76,93.6,98.98,87.26,101021500.0
2015-03-01,98.98,99.3,92.24,95.62,84.3,111259900.0
2015-03-04,,,,,,
2015-04-01,95.16,97.64,93.26,95.12,84.42,95836600.0
2015-05-01,95.16,98.44,94.76,96.43,85.58,77389100.0
2015-06-01,96.59,96.59,92.54,93.34,82.84,91613500.0
2015-06-03,,,,,,
2015-07-01,93.8,97.49,93.55,96.35,86.14,107155600.0
2015-08-01,96.19,100.61,76.48,93.6,83.68,126402100.0
2015-09-01,91.12,94.4,90.43,94.3,84.31,103551500.0
2015-09-02,,,,,,
2015-10-01,94.2,103.44,92.53,102.19,92.07,111021700.0
2015-11-01,102.14,102.58,97.65,100.16,90.24,76086900.0
2015-12-01,100.11,101.7,96.81,99.92,90.03,92168800.0
2015-12-02,,,,,,
2016-01-01,98.56,99.85,93.25,99.3,90.09,112003300.0
2016-02-01,98.53,100.7,96.09,97.82,88.75,96899800.0
2016-03-01,98.5,103.45,97.54,102.48,92.98,104728800.0
2016-03-02,,,,,,
2016-04-01,101.97,105.77,100.42,102.96,94.08,100934200.0
2016-05-01,102.74,106.94,100.0,101.17,92.44,92255700.0
2016-06-01,100.56,106.0,100.3,105.94,96.8,97386900.0
2016-06-01,,,,,,
2016-07-01,106.23,110.94,105.38,108.92,100.27,91955900.0
2016-08-01,108.72,109.36,106.26,106.75,98.27,67251900.0
2016-08-31,,,,,,
2016-09-01,106.46,109.71,104.05,108.77,100.84,90629200.0
2016-10-01,108.77,108.83,105.0,107.2,99.39,87371000.0
2016-11-01,107.14,108.93,100.1,100.1,92.8,106184200.0
2016-11-30,,,,,,
2016-12-01,99.89,106.53,98.5,104.63,97.72,85750400.0
2017-01-01,104.94,105.63,101.06,103.78,96.93,83246300.0
2017-02-01,103.61,110.6,102.98,110.38,103.09,81757500.0
2017-03-01,109.6,112.76,108.47,111.86,104.47,93121500.0
2017-03-01,,,,,,
2017-04-01,111.95,114.61,111.34,113.28,106.53,68457700.0
2017-05-01,112.93,118.12,111.7,116.87,109.9,72360700.0
2017-05-31,,,,,,
2017-06-01,116.8,118.24,114.89,115.49,109.35,74499100.0
2017-07-01,115.55,118.06,112.25,116.61,110.41,70464600.0
2017-08-01,116.69,119.39,114.91,115.73,109.58,66908700.0
2017-08-30,,,,,,
2017-09-01,115.38,117.29,110.34,111.43,106.24,79755600.0
2017-10-01,109.91,113.63,106.19,110.23,105.1,85595300.0
2017-11-01,109.76,117.38,109.15,116.52,111.1,69117100.0
2017-11-30,,,,,,
2017-12-01,116.5,120.57,115.04,119.92,115.13,70079200.0
2018-01-01,119.93,122.51,116.38,120.3,115.5,88451200.0
2018-02-01,119.92,121.01,107.94,109.73,105.35,97278600.0
2018-03-01,109.21,113.9,105.94,109.15,104.79,97486500.0
2018-03-01,,,,,,
2018-04-01,108.62,111.18,100.58,100.94,97.63,98237200.0
2018-05-01,100.36,102.24,95.94,100.25,96.96,127114500.0
2018-05-31,,,,,,
2018-06-01,100.54,109.59,99.65,108.87,106.26,112788100.0
2018-07-01,108.7,116.9,107.52,115.0,112.25,147328900.0
2018-08-01,114.42,118.44,110.89,112.01,109.33,97811500.0
2018-09-01,111.82,115.52,110.45,111.8,109.12,75015800.0
2018-09-06,,,,,,
2018-10-01,112.15,114.23,104.53,112.38,110.6,119829000.0
2018-11-01,112.0,122.0,109.63,121.94,120.01,90370600.0
2018-12-01,120.48,120.91,105.03,110.48,108.73,115113900.0
2018-12-06,,,,,,
2019-01-01,109.15,112.9,106.73,112.67,111.76,115731700.0
2019-02-01,112.95,117.3,111.45,115.64,114.71,96885600.0
2019-02-28,,,,,,
2019-03-01,115.86,123.19,114.26,122.55,122.55,125322100.0
2019-04-01,122.59,128.26,120.74,126.4,126.4,78871800.0
2019-04-26,126.52,127.25,126.13,126.4,126.4,2961738.0
