Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,31.08,31.58,28.77,29.63,24.78,686948500.0
2014-05-07,,,,,,
2014-06-01,29.59,29.92,29.15,29.68,25.05,483671600.0
2014-07-01,29.61,31.31,28.7,28.7,24.22,530925600.0
2014-07-30,,,,,,
2014-08-01,28.7,29.67,27.87,29.39,25.02,461117900.0
2014-09-01,29.21,30.84,29.01,29.57,25.17,474062800.0
2014-10-01,29.37,30.2,27.51,29.95,25.5,677081200.0
2014-11-01,29.9,31.64,29.76,31.15,26.52,406678200.0
2014-11-05,,,,,,
2014-12-01,30.88,33.12,30.58,31.15,26.75,533277200.0
2015-01-01,31.27,33.5,31.01,31.25,26.83,595433100.0
2015-02-01,31.44,34.97,31.02,34.32,29.47,604385000.0
2015-02-04,,,,,,
2015-03-01,34.32,35.45,33.63,34.79,30.14,653594300.0
2015-04-01,34.84,35.53,33.71,33.93,29.39,549790900.0
2015-05-01,33.86,34.99,33.21,34.75,30.1,437082900.0
2015-05-06,,,,,,
2015-06-01,34.77,34.92,33.33,33.53,29.29,507124700.0
2015-07-01,33.56,36.46,33.08,36.06,31.5,497228800.0
2015-08-01,36.29,36.3,28.47,33.26,29.05,626309600.0
2015-08-05,,,,,,
2015-09-01,31.46,33.96,30.64,31.41,27.65,579412900.0
2015-10-01,31.3,36.07,31.1,33.82,29.77,678477400.0
2015-11-01,34.17,35.25,30.99,32.77,28.85,849725200.0
2015-11-04,,,,,,
2015-12-01,33.0,33.83,31.84,32.28,28.64,738234000.0
2016-01-01,31.85,32.24,29.59,30.49,27.06,702863500.0
2016-02-01,30.34,30.9,28.25,29.67,26.33,849365300.0
2016-02-03,,,,,,
2016-03-01,29.79,30.61,28.74,29.64,26.57,1044271800.0
2016-04-01,29.44,33.5,29.41,32.71,29.32,1183286000.0
2016-05-01,32.56,34.75,32.5,34.7,31.1,611145900.0
2016-05-11,,,,,,
2016-06-01,34.7,35.5,33.53,35.21,31.84,575116000.0
2016-07-01,35.15,37.19,35.12,36.89,33.36,350569200.0
2016-08-01,37.02,37.39,34.61,34.8,31.47,479354700.0
2016-08-03,,,,,,
2016-09-01,34.73,34.99,33.3,33.87,30.88,398115100.0
2016-10-01,33.73,34.0,31.61,31.71,28.91,396939200.0
2016-11-01,30.94,33.83,29.83,32.14,29.31,740367000.0
2016-11-08,,,,,,
2016-12-01,32.25,33.3,30.51,31.7,29.19,570151700.0
2017-01-01,32.7,33.7,30.9,31.73,29.22,526019800.0
2017-02-01,31.51,34.46,31.26,34.12,31.42,518962300.0
2017-02-01,,,,,,
2017-03-01,34.27,34.75,33.72,34.21,31.83,515406000.0
2017-04-01,34.11,34.52,33.47,33.92,31.56,352930200.0
2017-05-01,33.89,33.99,31.97,32.65,30.37,531420900.0
2017-05-10,,,,,,
2017-06-01,32.67,34.48,31.67,33.59,31.55,465382600.0
2017-07-01,33.48,33.97,32.69,33.16,31.15,305432700.0
2017-08-01,33.04,34.02,32.32,33.92,31.86,388615100.0
2017-08-02,,,,,,
2017-09-01,33.94,36.21,33.75,35.7,33.86,387075500.0
2017-10-01,35.67,36.78,34.1,35.06,33.25,345560700.0
2017-11-01,35.01,36.48,34.8,36.26,34.39,284964000.0
2017-11-09,,,,,,
2017-12-01,36.29,37.35,35.15,36.22,34.67,314792100.0
2018-01-01,36.38,39.43,36.23,37.04,35.45,479549800.0
2018-02-01,36.61,37.4,33.2,36.31,34.75,557684600.0
2018-02-01,,,,,,
2018-03-01,36.12,37.04,34.32,35.49,34.28,481192500.0
2018-04-01,35.42,37.27,34.76,36.61,35.37,424062600.0
2018-05-01,35.58,36.25,34.37,35.93,34.71,484994400.0
2018-05-10,,,,,,
2018-06-01,36.26,36.8,35.73,36.28,35.39,433961300.0
2018-07-01,36.0,39.99,36.0,39.93,38.95,396825300.0
2018-08-01,39.63,42.77,39.49,41.52,40.5,473420400.0
2018-08-02,,,,,,
2018-09-01,41.48,44.46,41.22,44.07,43.35,350653500.0
2018-10-01,44.03,45.81,41.66,43.06,42.36,573682900.0
2018-11-01,43.2,46.26,42.35,46.23,45.48,481866000.0
2018-11-08,,,,,,
2018-12-01,46.37,46.47,40.42,43.65,43.27,536815600.0
2019-01-01,43.12,43.7,39.47,42.45,42.08,599537000.0
2019-01-31,,,,,,
2019-02-01,42.87,43.78,41.21,43.35,43.35,427804700.0
2019-03-01,43.61,43.79,40.34,42.47,42.47,525686000.0
2019-04-01,42.58,43.28,38.42,39.97,39.97,406683400.0
2019-04-26,39.67,39.99,39.44,39.97,39.97,18142883.0
