Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.23,104.23,103.14,103.64,102.91,6626500
2019-04-02,103.61,104.02,103.26,103.75,103.02,6088800
2019-04-03,103.58,103.89,102.75,103.69,102.96,5226500
2019-04-04,103.48,103.67,102.79,103.43,102.7,4786100
2019-04-05,103.61,103.69,103.17,103.65,102.92,4281800
2019-04-08,103.93,105.14,103.5,104.97,104.23,8468600
2019-04-09,104.55,104.76,104.14,104.66,103.93,5820300
2019-04-10,104.66,105.0,104.24,104.65,103.92,5394300
2019-04-11,104.58,105.05,104.37,104.75,104.02,5078400
2019-04-12,104.75,105.06,104.17,105.06,104.32,6707900
2019-04-15,104.98,105.78,104.79,105.73,104.99,5639200
2019-04-16,105.98,106.5,105.65,106.42,105.67,8136100
2019-04-17,106.27,106.51,105.35,105.85,105.85,6778100
2019-04-18,106.02,106.71,105.83,106.05,106.05,7248900
2019-04-22,106.13,107.2,105.74,106.01,106.01,9057200
2019-04-23,104.01,104.11,102.13,103.16,103.16,15979800
2019-04-24,103.32,104.65,102.79,103.69,103.69,10094800
2019-04-25,103.1,103.57,102.59,103.28,103.28,6079800
