Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,28.05,28.05,27.36,27.89,27.89,3255500
2019-04-02,27.93,27.93,27.44,27.77,27.77,2555600
2019-04-03,27.9,28.14,27.55,27.77,27.77,3044700
2019-04-04,27.71,28.61,27.71,28.59,28.59,3486400
2019-04-05,28.59,29.03,28.51,28.94,28.94,2662900
2019-04-08,28.86,29.02,28.62,28.83,28.83,2771400
2019-04-09,28.79,29.03,28.48,28.57,28.57,2988200
2019-04-10,28.83,29.1,28.56,28.92,28.92,2169200
2019-04-11,29.0,29.5,28.97,29.41,29.41,3336400
2019-04-12,29.45,29.54,29.22,29.39,29.39,2499100
2019-04-15,29.46,29.58,29.19,29.5,29.5,2100800
2019-04-16,29.67,29.82,29.45,29.76,29.76,2830400
2019-04-17,29.87,30.17,29.8,30.04,30.04,2789400
2019-04-18,29.99,30.59,29.99,30.39,30.39,3316400
2019-04-22,30.36,30.69,30.15,30.22,30.22,4577800
2019-04-23,30.75,31.71,30.52,31.35,31.35,7087000
2019-04-24,31.75,31.95,31.16,31.86,31.86,3505400
2019-04-25,31.24,31.9,30.87,31.67,31.67,4186000
