Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,66.5,69.67,65.93,69.16,60.05,17932700.0
2014-06-01,69.37,71.86,68.79,71.49,62.07,12579600.0
2014-06-11,,,,,,
2014-07-01,71.75,72.82,65.0,66.16,57.77,25877700.0
2014-08-01,66.18,68.07,63.42,67.99,59.37,16698400.0
2014-09-01,68.25,70.94,63.11,63.82,55.73,21383600.0
2014-09-11,,,,,,
2014-10-01,63.7,72.25,57.06,72.08,63.31,37670100.0
2014-11-01,72.17,74.67,71.17,74.28,65.24,12716800.0
2014-12-01,74.25,80.14,73.0,78.05,68.55,16691500.0
2014-12-17,,,,,,
2015-01-01,78.73,82.63,73.03,75.85,66.97,21621000.0
2015-02-01,75.96,84.88,74.29,82.86,73.16,17283000.0
2015-03-01,82.86,83.25,76.01,78.19,69.04,17230900.0
2015-03-11,,,,,,
2015-04-01,77.87,78.98,67.39,69.19,61.53,31016000.0
2015-05-01,69.31,71.33,67.21,69.18,61.52,23011000.0
2015-06-01,69.41,69.52,62.48,62.49,55.57,24413600.0
2015-06-11,,,,,,
2015-07-01,63.29,72.35,62.2,70.79,63.46,26684700.0
2015-08-01,70.78,73.6,62.22,67.11,60.16,18914100.0
2015-09-01,66.28,66.89,58.29,60.16,53.93,15726100.0
2015-09-11,,,,,,
2015-10-01,60.42,70.04,59.54,68.45,61.88,23608400.0
2015-11-01,68.61,69.54,63.23,67.99,61.47,14832900.0
2015-12-01,68.12,69.13,59.75,63.05,57.0,17373200.0
2015-12-23,,,,,,
2016-01-01,62.01,62.67,48.29,50.83,46.36,28712700.0
2016-02-01,50.15,51.22,44.32,48.5,44.24,33448000.0
2016-03-01,49.02,61.0,48.73,60.4,55.09,33945700.0
2016-03-11,,,,,,
2016-04-01,60.01,67.0,58.44,64.88,59.78,17908900.0
2016-05-01,65.26,68.99,63.12,68.23,62.87,15291100.0
2016-06-01,67.77,71.31,62.41,66.93,61.67,26275300.0
2016-06-13,,,,,,
2016-07-01,66.56,76.0,65.12,74.69,69.37,17228600.0
2016-08-01,74.76,80.25,73.34,78.63,73.03,17503500.0
2016-09-01,78.78,82.77,78.07,81.26,75.47,16561800.0
2016-09-13,,,,,,
2016-10-01,81.39,85.55,78.2,82.5,77.23,19780700.0
2016-11-01,82.63,87.75,78.03,84.76,79.34,17462000.0
2016-12-01,84.94,88.41,84.28,84.82,79.4,16361100.0
2016-12-21,,,,,,
2017-01-01,85.16,96.87,84.01,92.18,86.92,17403200.0
2017-02-01,91.97,96.73,89.83,92.43,87.16,18845500.0
2017-03-01,93.35,95.0,88.47,91.62,86.39,19586200.0
2017-03-13,,,,,,
2017-04-01,91.7,101.01,89.73,98.78,93.79,13144200.0
2017-05-01,98.96,103.17,98.1,102.16,97.0,13275500.0
2017-06-01,102.25,113.52,102.11,111.39,105.76,14911100.0
2017-06-13,,,,,,
2017-07-01,111.71,114.31,105.81,109.48,104.57,41111100.0
2017-08-01,109.71,112.77,106.49,112.41,107.37,18190000.0
2017-09-01,112.71,119.43,110.7,114.68,109.54,18517400.0
2017-09-14,,,,,,
2017-10-01,114.45,120.75,111.65,116.27,111.66,14822000.0
2017-11-01,117.11,118.98,108.49,118.6,113.9,15909900.0
2017-12-01,118.53,121.38,114.18,120.55,115.77,13715400.0
2017-12-22,,,,,,
2018-01-01,121.47,131.13,119.28,125.63,121.29,17095600.0
2018-02-01,125.3,125.3,110.28,119.2,115.08,16417500.0
2018-03-01,119.51,121.97,109.04,112.7,108.8,17518800.0
2018-03-14,,,,,,
2018-04-01,111.91,118.7,107.96,115.69,112.28,15242600.0
2018-05-01,115.26,123.96,111.36,117.5,114.03,16217500.0
2018-06-01,118.6,124.7,110.91,111.79,108.49,15174100.0
2018-06-14,,,,,,
2018-07-01,111.07,116.74,108.63,112.9,110.29,15032600.0
2018-08-01,112.99,113.46,107.39,109.92,107.38,14359300.0
2018-09-01,109.75,118.88,108.66,109.69,107.16,12619600.0
2018-09-13,,,,,,
2018-10-01,110.33,110.62,83.54,91.81,90.32,39160100.0
2018-11-01,92.82,99.13,92.34,97.82,96.23,16402600.0
2018-12-01,100.0,101.29,77.9,83.46,82.11,20245100.0
2018-12-14,,,,,,
2019-01-01,81.87,95.2,81.87,94.32,93.58,20233100.0
2019-02-01,94.86,100.94,93.32,95.59,94.84,15426700.0
2019-03-01,96.26,101.84,93.91,99.38,98.6,20157200.0
2019-03-14,,,,,,
2019-04-01,99.91,103.8,92.62,99.2,99.2,18217400.0
2019-04-26,97.43,99.49,96.13,99.2,99.2,517060.0
