Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,85.49,88.8,84.82,88.54,69.64,80180200.0
2014-06-01,88.33,91.63,84.05,84.31,66.31,111587100.0
2014-06-24,,,,,,
2014-07-01,84.35,86.85,82.0,82.01,65.18,92184600.0
2014-08-01,82.0,85.69,81.19,85.58,68.01,63797800.0
2014-09-01,85.3,86.07,82.28,83.4,66.28,98199400.0
2014-09-23,,,,,,
2014-10-01,83.25,89.24,81.9,89.01,71.57,113236000.0
2014-11-01,88.85,90.25,85.49,86.93,69.9,76973700.0
2014-12-01,86.37,87.68,81.16,81.45,65.49,101407600.0
2014-12-22,,,,,,
2015-01-01,81.6,85.29,79.86,80.24,65.31,118095500.0
2015-02-01,80.24,83.86,80.06,82.96,67.52,85250000.0
2015-03-01,82.96,83.22,75.3,75.33,61.31,132480800.0
2015-03-24,,,,,,
2015-04-01,75.27,85.75,75.27,83.47,68.8,128878500.0
2015-05-01,83.47,86.91,82.56,83.07,68.47,69225000.0
2015-06-01,82.9,83.66,79.38,80.17,66.08,95636400.0
2015-06-23,,,,,,
2015-07-01,80.36,86.51,80.1,85.53,71.35,80944700.0
2015-08-01,85.5,86.34,76.54,80.78,67.39,94210500.0
2015-09-01,78.21,83.05,77.0,79.33,66.18,91019700.0
2015-09-28,,,,,,
2015-10-01,79.68,90.08,78.41,88.4,74.69,91501600.0
2015-11-01,88.73,88.98,83.27,87.39,73.84,71774300.0
2015-12-01,87.44,90.27,85.74,87.91,74.28,91883400.0
2015-12-21,,,,,,
2016-01-01,86.85,90.24,84.46,90.01,76.96,104379800.0
2016-02-01,89.79,92.87,87.42,91.03,77.83,95596000.0
2016-03-01,91.6,99.53,90.79,98.11,83.88,107525800.0
2016-03-22,,,,,,
2016-03-23,,,,,,
2016-04-01,97.77,102.0,95.91,98.12,85.67,92573700.0
2016-05-01,98.42,102.55,97.2,98.68,86.16,73109700.0
2016-06-01,98.68,102.01,96.89,101.72,88.81,114649800.0
2016-06-21,,,,,,
2016-07-01,101.72,104.2,96.95,100.26,88.43,96361300.0
2016-08-01,99.74,100.58,98.24,99.93,88.14,77904600.0
2016-09-01,99.8,102.38,97.12,97.22,85.75,90939400.0
2016-09-26,,,,,,
2016-10-01,97.35,98.01,95.0,96.44,85.94,88127200.0
2016-11-01,96.63,98.21,86.9,88.28,78.67,133964300.0
2016-12-01,87.85,92.63,86.78,91.49,81.53,91662400.0
2016-12-20,,,,,,
2017-01-01,91.79,96.97,89.97,96.13,86.65,88160000.0
2017-02-01,95.61,109.99,95.2,109.35,98.56,91398700.0
2017-03-01,109.0,114.65,108.68,112.9,101.76,107867000.0
2017-03-21,,,,,,
2017-04-01,112.91,115.63,108.56,110.84,100.83,89189700.0
2017-05-01,111.0,121.11,109.95,119.8,108.98,73694100.0
2017-06-01,120.0,123.55,116.73,117.45,106.84,78284800.0
2017-06-21,,,,,,
2017-07-01,117.86,121.69,109.31,116.71,107.08,89413200.0
2017-08-01,117.01,118.29,113.88,116.93,107.28,78465900.0
2017-09-01,117.17,119.43,110.94,111.01,101.85,69824700.0
2017-09-26,,,,,,
2017-10-01,111.23,115.28,104.26,104.64,96.92,94069600.0
2017-11-01,104.78,105.0,101.58,102.75,95.17,88062200.0
2017-12-01,103.27,110.27,102.15,105.65,97.85,92831700.0
2017-12-20,,,,,,
2018-01-01,105.82,111.25,103.02,107.23,100.31,103345800.0
2018-02-01,107.04,107.58,96.66,103.55,96.87,117982800.0
2018-03-01,103.67,109.9,95.51,99.4,92.99,115299300.0
2018-03-21,,,,,,
2018-04-01,99.59,103.55,80.47,82.0,77.54,178649700.0
2018-05-01,81.4,83.04,78.61,79.54,75.21,135035200.0
2018-06-01,79.45,82.14,76.21,80.74,76.34,144284100.0
2018-06-21,,,,,,
2018-07-01,80.62,86.97,76.52,86.3,82.76,131104500.0
2018-08-01,86.03,87.44,77.48,77.89,74.69,107633800.0
2018-09-01,78.0,83.86,77.17,81.54,78.19,106004500.0
2018-09-25,,,,,,
2018-10-01,81.41,92.69,80.45,88.07,85.65,151642000.0
2018-11-01,88.33,90.88,82.83,86.53,84.15,110103300.0
2018-12-01,86.53,88.52,64.67,66.76,64.93,168983500.0
2018-12-19,,,,,,
2019-01-01,66.13,77.1,65.74,76.72,75.76,157116000.0
2019-02-01,77.03,87.7,75.26,86.94,85.85,112311600.0
2019-03-01,87.42,92.74,85.95,88.39,87.28,120310500.0
2019-03-25,,,,,,
2019-04-01,88.38,89.09,82.45,84.76,84.76,89259100.0
2019-04-26,83.94,85.13,83.89,84.76,84.76,3131416.0
