Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,55.62,57.09,53.81,55.42,46.39,20066100.0
2014-05-01,,,,,,
2014-06-01,55.45,58.06,53.04,57.84,48.91,14103500.0
2014-07-01,57.72,57.95,53.29,53.49,45.23,20630200.0
2014-07-30,,,,,,
2014-08-01,53.51,56.97,52.13,56.95,48.64,19992700.0
2014-09-01,57.04,57.74,54.13,54.64,46.67,18303300.0
2014-10-01,54.7,61.56,54.59,61.47,52.5,17886200.0
2014-10-30,,,,,,
2014-11-01,61.75,63.5,60.61,63.23,54.55,14245200.0
2014-12-01,62.85,71.11,62.6,68.31,58.93,26347200.0
2015-01-01,68.58,73.31,67.69,70.18,60.55,18807600.0
2015-01-29,,,,,,
2015-02-01,70.18,70.71,63.81,64.08,55.75,19559000.0
2015-03-01,63.93,65.43,61.53,63.75,55.46,17342300.0
2015-04-01,63.76,64.95,60.78,61.2,53.24,14976400.0
2015-04-30,,,,,,
2015-05-01,60.95,61.88,58.37,60.92,53.51,16827100.0
2015-06-01,61.04,61.34,56.01,56.89,49.97,18064800.0
2015-07-01,57.03,62.63,56.77,61.71,54.2,22088900.0
2015-07-30,,,,,,
2015-08-01,61.72,65.23,58.95,60.78,53.91,22585100.0
2015-09-01,59.02,64.21,57.33,64.14,56.89,18013300.0
2015-10-01,64.16,67.02,62.43,63.51,56.33,19406200.0
2015-10-29,,,,,,
2015-11-01,63.47,65.45,61.02,63.36,56.74,20512300.0
2015-12-01,63.33,65.51,60.7,64.48,57.75,20892100.0
2016-01-01,64.31,66.49,62.51,66.31,59.39,16913700.0
2016-01-28,,,,,,
2016-02-01,66.24,71.4,66.02,68.83,62.25,24996700.0
2016-03-01,69.2,75.15,66.35,75.07,67.89,19366000.0
2016-04-01,75.02,75.81,70.23,72.65,65.7,15322500.0
2016-04-28,,,,,,
2016-05-01,72.78,74.65,70.11,73.59,67.14,16680700.0
2016-06-01,73.38,81.08,73.07,81.06,73.95,16626700.0
2016-07-01,81.56,82.78,77.79,78.87,71.95,15310800.0
2016-07-28,,,,,,
2016-08-01,78.67,79.54,74.28,75.04,69.01,13022200.0
2016-09-01,74.91,80.19,73.94,75.99,69.88,15662800.0
2016-10-01,75.81,76.59,72.07,76.13,70.01,15459900.0
2016-10-28,,,,,,
2016-11-01,76.21,77.34,70.86,73.93,68.59,18290000.0
2016-12-01,73.64,78.97,72.61,76.19,70.68,13034600.0
2017-01-01,77.99,78.8,75.79,77.63,72.02,11572100.0
2017-01-30,,,,,,
2017-02-01,76.98,82.5,76.47,82.19,76.91,10803200.0
2017-03-01,81.37,84.72,80.6,83.38,78.02,15139300.0
2017-04-01,83.41,86.63,82.62,85.09,79.62,16214500.0
2017-04-27,,,,,,
2017-05-01,85.11,88.65,83.52,88.35,83.3,16625600.0
2017-06-01,88.3,89.56,84.93,85.16,80.29,16967400.0
2017-07-01,85.4,87.38,83.95,86.73,81.78,11746700.0
2017-07-28,,,,,,
2017-08-01,86.8,90.87,85.35,89.97,85.47,14471100.0
2017-09-01,90.14,90.92,83.95,84.56,80.33,12496300.0
2017-10-01,84.76,89.22,84.14,87.71,83.33,15967200.0
2017-10-31,,,,,,
2017-11-01,87.91,92.48,86.23,91.81,87.91,14353200.0
2017-12-01,92.03,92.3,84.26,85.18,81.57,11153700.0
2018-01-01,85.3,85.55,78.31,79.95,76.56,15375300.0
2018-01-31,,,,,,
2018-02-01,79.63,80.83,73.81,76.96,74.35,19456000.0
2018-03-01,76.92,80.21,75.21,79.8,77.09,20469400.0
2018-04-01,79.8,81.85,77.14,80.5,77.77,19817000.0
2018-04-30,,,,,,
2018-05-01,80.35,80.73,75.82,79.61,77.57,18617100.0
2018-06-01,79.17,81.25,73.41,80.56,78.49,18699800.0
2018-07-01,80.79,83.05,77.56,80.43,78.37,18317400.0
2018-07-31,,,,,,
2018-08-01,80.13,82.83,78.27,78.55,77.2,21549100.0
2018-09-01,78.61,81.12,77.19,79.18,77.82,15801800.0
2018-10-01,78.95,86.71,78.11,82.25,80.84,23109500.0
2018-10-31,,,,,,
2018-11-01,82.09,90.06,81.51,89.36,88.61,25094000.0
2018-12-01,89.08,92.64,83.14,85.2,84.48,21576300.0
2019-01-01,85.05,88.42,81.63,88.12,87.38,27850100.0
2019-01-31,,,,,,
2019-02-01,87.95,94.02,86.55,93.74,93.74,18496600.0
2019-03-01,93.53,97.27,91.9,95.58,95.58,21721600.0
2019-04-01,95.41,96.33,93.14,95.09,95.09,15696100.0
2019-04-26,96.27,96.31,94.97,95.09,95.09,936493.0
