Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,113.62,115.1,113.43,114.22,114.22,1526100
2019-04-02,114.43,115.26,113.52,114.24,114.24,961900
2019-04-03,115.25,115.71,114.16,114.58,114.58,1284100
2019-04-04,115.34,115.99,114.55,115.0,115.0,1301900
2019-04-05,115.08,115.64,114.62,114.96,114.96,837800
2019-04-08,114.78,114.89,113.77,114.4,114.4,988200
2019-04-09,113.83,114.84,113.35,114.28,114.28,797500
2019-04-10,114.66,115.24,114.46,114.9,114.9,779300
2019-04-11,114.9,115.27,114.25,114.52,114.52,761900
2019-04-12,115.4,115.78,114.59,115.6,115.6,879800
2019-04-15,115.87,116.57,115.48,116.47,116.47,1094100
2019-04-16,116.9,118.43,116.63,118.4,118.4,2004200
2019-04-17,118.7,118.77,117.17,117.39,117.39,1659900
2019-04-18,119.78,121.29,119.22,119.86,119.86,3742000
2019-04-22,118.65,119.2,116.87,117.24,117.24,1854900
2019-04-23,117.33,118.5,116.38,117.62,117.62,1819800
2019-04-24,117.73,118.1,116.49,116.64,116.64,1038900
2019-04-25,116.31,116.31,115.09,115.53,115.53,896600
