Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,145.15,146.49,125.37,138.2,133.23,31524800.0
2014-05-28,,,,,,
2014-06-01,138.75,149.01,136.18,145.76,140.62,23132300.0
2014-07-01,146.35,160.65,143.48,150.45,145.15,32075100.0
2014-08-01,150.01,153.0,137.29,148.74,143.5,21719900.0
2014-08-27,,,,,,
2014-09-01,149.44,153.17,135.0,150.19,145.0,18336800.0
2014-10-01,151.04,163.63,142.38,161.45,155.87,18312000.0
2014-11-01,160.59,161.15,145.41,160.19,154.65,25587500.0
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-12-01,160.43,171.57,151.71,167.16,161.6,18805600.0
2015-01-01,165.99,172.0,151.39,151.74,146.69,16948100.0
2015-02-01,151.88,157.65,147.21,154.47,149.33,21780100.0
2015-02-25,,,,,,
2015-03-01,154.47,174.65,153.69,165.55,160.17,23577900.0
2015-04-01,166.26,215.73,161.86,183.28,177.33,84129800.0
2015-05-01,186.8,200.96,182.65,190.3,184.12,23617700.0
2015-05-27,,,,,,
2015-06-01,191.7,196.55,182.91,184.83,178.94,25423700.0
2015-07-01,185.74,196.9,178.89,192.2,186.08,27499600.0
2015-08-01,192.2,198.42,170.69,182.97,177.14,29706600.0
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-09-01,181.17,184.77,150.64,157.27,152.47,21944200.0
2015-10-01,159.02,167.92,142.62,157.74,152.93,34388800.0
2015-11-01,160.16,165.63,140.4,149.39,144.83,73730100.0
2015-11-24,,,,,,
2015-12-01,150.79,151.65,142.51,144.7,140.4,25888500.0
2016-01-01,142.01,152.36,138.74,144.58,140.29,39153000.0
2016-02-01,143.14,147.58,122.62,126.25,122.5,41039400.0
2016-02-24,,,,,,
2016-03-01,127.07,140.65,123.85,127.93,124.27,35471300.0
2016-04-01,127.44,133.53,94.86,96.67,93.91,83460000.0
2016-05-01,98.05,98.89,84.85,95.84,93.1,50540200.0
2016-05-25,,,,,,
2016-06-01,95.4,111.0,86.34,90.67,88.21,63169500.0
2016-07-01,90.41,97.29,89.97,91.39,88.91,35239500.0
2016-08-01,91.7,95.36,82.5,90.99,88.52,59280200.0
2016-08-24,,,,,,
2016-09-01,90.94,99.14,88.7,92.33,89.97,41272000.0
2016-10-01,92.34,97.17,82.93,83.19,81.06,35592700.0
2016-11-01,83.15,91.95,79.72,86.34,84.13,40556700.0
2016-11-22,,,,,,
2016-11-23,,,,,,
2016-12-01,86.22,87.15,81.45,83.23,81.37,33204100.0
2017-01-01,84.03,87.48,71.84,76.15,74.45,38268800.0
2017-02-01,75.89,85.62,72.43,74.77,73.1,43749000.0
2017-03-01,73.59,76.49,66.29,66.39,64.9,43873400.0
2017-03-01,,,,,,
2017-04-01,66.04,74.74,65.47,73.94,72.44,38215600.0
2017-05-01,73.84,76.33,66.71,72.85,71.37,41272800.0
2017-05-24,,,,,,
2017-06-01,72.33,77.74,68.61,75.52,74.15,37219300.0
2017-07-01,75.89,77.01,71.09,74.92,73.56,18536800.0
2017-08-01,74.99,80.0,63.68,78.96,77.53,46937000.0
2017-08-23,,,,,,
2017-09-01,79.0,89.87,77.45,84.65,83.29,31542600.0
2017-10-01,84.38,89.19,80.08,80.99,79.68,25258500.0
2017-11-01,81.58,91.73,79.7,87.21,85.8,29017600.0
2017-11-30,,,,,,
2017-12-01,87.39,89.37,81.28,87.16,85.91,21367200.0
2018-01-01,87.75,95.93,87.65,90.62,89.32,20553600.0
2018-02-01,90.63,92.3,81.37,81.46,80.29,19935800.0
2018-03-01,80.98,87.69,78.5,83.34,82.15,22872800.0
2018-03-01,,,,,,
2018-04-01,82.95,84.94,77.56,78.14,77.2,20549100.0
2018-05-01,77.84,79.56,71.37,73.16,72.28,30828500.0
2018-05-31,,,,,,
2018-06-01,73.64,76.84,72.36,72.91,72.21,23889500.0
2018-07-01,72.62,80.66,71.72,80.52,79.75,23071600.0
2018-08-01,80.4,80.55,67.53,76.51,75.78,44051900.0
2018-08-30,,,,,,
2018-09-01,77.17,77.92,70.55,70.8,70.3,22150900.0
2018-10-01,70.41,74.21,67.4,70.3,69.81,33828100.0
2018-11-01,70.65,75.42,59.88,62.28,61.84,35162600.0
2018-11-29,,,,,,
2018-12-01,63.11,64.27,36.28,38.75,38.59,46885100.0
2019-01-01,38.5,47.25,38.38,46.45,46.26,35283000.0
2019-02-01,45.95,51.66,44.97,48.7,48.5,27269400.0
2019-02-28,,,,,,
2019-03-01,49.07,50.86,45.04,48.16,48.16,23972500.0
2019-04-01,48.58,51.62,47.17,50.97,50.97,21320000.0
2019-04-26,50.38,51.0,49.89,50.97,50.97,924462.0
