Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,175.27,176.49,168.29,172.38,145.01,14279300.0
2014-06-01,172.21,175.0,167.8,171.35,144.14,12238500.0
2014-06-11,,,,,,
2014-07-01,171.85,175.86,169.53,171.61,145.55,10411700.0
2014-08-01,171.82,178.26,170.84,175.18,148.58,9786000.0
2014-09-01,175.5,177.13,162.34,165.84,140.66,13068400.0
2014-09-11,,,,,,
2014-10-01,165.73,184.46,165.05,184.34,157.63,16022300.0
2014-11-01,184.32,190.19,183.2,187.63,160.44,11202700.0
2014-12-01,186.97,190.0,178.42,184.85,158.06,12614900.0
2014-12-11,,,,,,
2015-01-01,185.35,206.92,185.05,200.84,173.04,12318000.0
2015-02-01,201.01,206.81,195.38,197.22,169.92,13239200.0
2015-03-01,195.95,202.81,185.2,197.14,169.85,15374100.0
2015-03-12,,,,,,
2015-04-01,197.4,199.93,186.4,187.91,163.13,11172800.0
2015-05-01,188.36,200.6,186.27,193.54,168.02,14786400.0
2015-06-01,193.46,196.67,182.91,184.37,160.06,14952100.0
2015-06-11,,,,,,
2015-07-01,183.36,206.73,182.08,205.18,179.75,13263100.0
2015-08-01,205.18,217.99,196.61,201.27,176.33,14456300.0
2015-09-01,199.41,212.11,197.38,211.63,185.4,13564700.0
2015-09-11,,,,,,
2015-10-01,212.72,233.72,210.87,229.46,202.75,13795300.0
2015-11-01,229.29,242.59,222.7,240.06,212.11,12949600.0
2015-12-01,241.9,253.93,235.42,247.7,218.86,19106000.0
2015-12-11,,,,,,
2016-01-01,243.92,255.97,239.51,253.56,225.63,17034700.0
2016-02-01,253.14,257.98,224.71,249.49,222.01,17821600.0
2016-03-01,249.73,276.83,247.67,275.83,245.45,14965700.0
2016-03-14,,,,,,
2016-04-01,275.61,277.6,241.77,244.81,219.3,15452400.0
2016-05-01,245.24,267.34,245.0,253.71,227.27,16060000.0
2016-06-01,253.03,262.74,234.98,255.59,228.95,22785100.0
2016-06-13,,,,,,
2016-07-01,256.54,260.83,236.3,238.92,215.63,15516500.0
2016-08-01,238.78,239.3,221.51,223.94,202.11,18343800.0
2016-09-01,224.25,229.19,212.69,223.14,201.39,19369700.0
2016-09-12,,,,,,
2016-10-01,222.6,222.6,200.65,213.72,194.49,17137200.0
2016-11-01,213.26,219.22,200.72,209.3,190.46,20829900.0
2016-12-01,208.16,224.4,205.93,223.5,203.38,18395400.0
2016-12-12,,,,,,
2017-01-01,224.67,229.1,213.6,215.0,197.45,17064100.0
2017-02-01,215.07,231.49,212.5,227.46,208.9,13487600.0
2017-03-01,228.04,230.68,215.64,218.91,201.04,18084800.0
2017-03-13,,,,,,
2017-04-01,219.0,232.21,208.46,209.38,194.05,14609900.0
2017-05-01,210.33,218.99,201.97,215.35,199.59,24033200.0
2017-06-01,215.21,215.62,205.19,208.53,193.27,21703600.0
2017-06-12,,,,,,
2017-07-01,209.93,213.54,192.15,205.57,192.38,18935800.0
2017-08-01,206.1,207.0,194.5,205.34,192.16,16730000.0
2017-09-01,205.82,219.93,204.97,213.99,200.26,16898100.0
2017-09-12,,,,,,
2017-10-01,214.55,219.53,198.11,207.25,195.78,19145600.0
2017-11-01,208.07,216.11,205.9,213.12,201.33,16017400.0
2017-12-01,213.97,215.45,203.61,209.0,197.44,14324100.0
2017-12-12,,,,,,
2018-01-01,210.05,210.17,190.15,195.76,186.69,21030600.0
2018-02-01,196.1,197.74,180.48,194.44,185.43,23621400.0
2018-03-01,194.24,203.82,192.66,200.39,191.11,20565200.0
2018-03-13,,,,,,
2018-04-01,201.05,204.75,192.02,201.78,194.38,17245900.0
2018-05-01,201.84,213.92,200.68,211.84,204.08,16927000.0
2018-06-01,211.95,230.09,210.0,226.86,218.55,19368700.0
2018-06-12,,,,,,
2018-07-01,226.86,234.9,214.1,217.83,211.8,19868700.0
2018-08-01,211.01,225.29,201.05,212.58,206.7,21305400.0
2018-09-01,212.91,216.94,199.15,201.63,196.05,16287200.0
2018-09-11,,,,,,
2018-10-01,202.21,211.5,194.09,205.47,201.69,23900900.0
2018-11-01,205.83,214.99,197.71,213.26,209.34,19067400.0
2018-12-01,213.25,216.7,195.7,202.41,198.69,27278300.0
2018-12-11,,,,,,
2019-01-01,200.9,212.83,193.89,212.52,210.58,17448100.0
2019-02-01,212.53,213.14,199.53,211.49,209.56,18663600.0
2019-03-01,211.04,226.06,209.25,217.78,215.79,22083900.0
2019-03-12,,,,,,
2019-04-01,217.35,222.48,212.65,218.95,218.95,13273900.0
2019-04-26,217.57,219.57,216.15,218.95,218.95,687414.0
