Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,125.47,133.89,124.95,131.63,130.74,16482500.0
2014-05-21,,,,,,
2014-06-01,131.75,132.34,113.99,116.6,115.84,29002400.0
2014-07-01,117.25,119.65,109.5,110.18,109.46,17631600.0
2014-08-01,110.13,119.29,107.05,116.74,115.98,20349900.0
2014-08-26,,,,,,
2014-09-01,116.97,130.0,115.07,121.15,120.4,19084800.0
2014-10-01,121.22,123.56,109.29,114.35,113.64,20573900.0
2014-11-01,114.74,127.43,112.1,127.14,126.35,15314500.0
2014-11-18,,,,,,
2014-12-01,126.24,129.17,119.15,128.17,127.42,22029700.0
2015-01-01,128.89,129.03,109.0,110.26,109.61,22505700.0
2015-02-01,110.45,113.84,101.74,106.53,105.9,25146600.0
2015-02-24,,,,,,
2015-03-01,106.07,108.2,93.8,106.56,105.97,39313200.0
2015-04-01,106.68,111.98,102.3,103.35,102.78,21121900.0
2015-05-01,103.98,107.15,102.12,104.64,104.06,15175900.0
2015-05-19,,,,,,
2015-06-01,104.54,117.5,103.9,115.2,114.6,26074400.0
2015-07-01,116.14,118.27,111.07,116.04,115.44,14421900.0
2015-08-01,115.61,120.11,104.88,118.98,118.36,23028600.0
2015-08-24,,,,,,
2015-09-01,116.34,120.67,96.26,101.94,101.44,20598800.0
2015-10-01,101.81,103.37,87.12,90.95,90.51,24585300.0
2015-11-01,90.95,96.16,84.05,91.29,90.85,19369500.0
2015-11-18,,,,,,
2015-12-01,91.24,94.88,71.99,73.65,73.32,36929800.0
2016-01-01,72.72,74.83,64.16,73.38,73.06,24145400.0
2016-02-01,72.37,80.95,68.96,79.15,78.8,28195300.0
2016-02-23,,,,,,
2016-03-01,80.09,100.0,79.1,99.06,98.67,26772700.0
2016-04-01,98.68,99.79,91.39,95.6,95.22,18769200.0
2016-05-01,96.0,97.16,82.1,93.8,93.43,33172000.0
2016-05-17,,,,,,
2016-06-01,93.6,103.36,83.8,94.23,93.9,28493300.0
2016-07-01,94.39,102.93,91.31,101.06,100.71,15005600.0
2016-08-01,100.85,111.75,92.83,107.76,107.38,21499600.0
2016-08-22,,,,,,
2016-09-01,107.84,111.93,105.04,110.5,110.15,16687400.0
2016-10-01,110.29,115.4,104.92,106.98,106.64,17470300.0
2016-11-01,107.57,114.88,102.29,105.94,105.61,21220100.0
2016-11-21,,,,,,
2016-12-01,105.0,113.21,89.51,90.24,89.99,32821900.0
2017-01-01,90.96,96.5,88.71,93.81,93.55,24654400.0
2017-02-01,93.25,93.32,84.53,91.6,91.34,24861800.0
2017-02-22,,,,,,
2017-03-01,92.48,104.28,88.89,103.47,103.22,30272100.0
2017-04-01,103.48,104.72,98.04,101.03,100.79,19972500.0
2017-05-01,101.02,109.01,96.85,105.95,105.7,27268900.0
2017-05-16,,,,,,
2017-06-01,106.04,115.86,102.05,114.5,114.27,21103500.0
2017-07-01,114.45,120.49,110.59,119.29,119.05,13663000.0
2017-08-01,119.41,130.25,118.45,125.89,125.64,22606900.0
2017-08-22,,,,,,
2017-09-01,126.19,130.75,123.78,126.06,125.85,15250800.0
2017-10-01,125.92,133.24,123.65,126.81,126.6,15436800.0
2017-11-01,127.37,139.51,120.91,134.55,134.32,18634900.0
2017-11-21,,,,,,
2017-12-01,135.18,138.7,130.81,137.21,137.02,16470800.0
2018-01-01,137.59,157.96,137.27,155.08,154.86,14307200.0
2018-02-01,153.0,155.66,139.43,144.28,144.08,14864600.0
2018-02-27,,,,,,
2018-03-01,143.89,154.74,139.1,151.43,151.25,21099700.0
2018-04-01,151.63,163.78,149.81,159.67,159.49,20893400.0
2018-05-01,158.75,160.46,149.15,160.0,159.81,22157500.0
2018-05-16,,,,,,
2018-06-01,162.0,169.22,148.8,149.72,149.58,21275100.0
2018-07-01,148.29,159.84,144.47,153.52,153.38,18076000.0
2018-08-01,152.91,157.63,140.25,143.16,143.03,25179400.0
2018-08-28,,,,,,
2018-09-01,142.35,144.73,131.6,144.4,144.3,25954400.0
2018-10-01,144.5,145.25,116.52,120.79,120.71,23587800.0
2018-11-01,120.64,128.73,106.63,110.51,110.44,26603600.0
2018-11-27,,,,,,
2018-12-01,113.29,116.89,86.46,92.95,92.92,26553300.0
2019-01-01,91.25,110.84,89.93,109.11,109.07,24597200.0
2019-02-01,109.5,118.93,107.73,114.84,114.8,17865800.0
2019-02-27,,,,,,
2019-03-01,116.37,132.36,106.19,121.95,121.95,27550100.0
2019-04-01,123.22,134.24,122.85,131.02,131.02,20082500.0
2019-04-26,130.02,131.28,128.97,131.02,131.02,704930.0
