Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,38.0,42.55,33.98,38.7,38.7,424230800
2015-08-01,39.25,39.91,30.0,34.62,34.62,265592400
2015-09-01,34.15,35.46,30.3,31.04,31.04,199174100
2015-10-01,30.82,36.65,30.75,36.01,36.01,197207700
2015-11-01,35.58,38.52,34.5,35.26,35.26,197878100
2015-12-01,35.41,37.68,33.85,36.2,36.2,156869000
2016-01-01,35.13,36.26,30.52,36.14,36.14,205356700
2016-02-01,35.65,38.93,31.64,38.14,38.14,248604000
2016-03-01,38.52,41.75,37.0,38.6,38.6,189313600
2016-04-01,38.51,41.49,37.34,39.18,39.18,154164500
2016-05-01,39.07,40.31,37.31,37.79,37.79,176534700
2016-06-01,37.81,38.69,34.0,36.51,36.51,187382500
2016-07-01,36.6,40.45,35.72,37.24,37.24,209911600
2016-08-01,37.43,38.65,36.28,37.15,37.15,139324900
2016-09-01,37.27,41.3,36.3,40.97,40.97,192932400
2016-10-01,40.87,44.52,38.75,41.66,41.66,204950300
2016-11-01,41.68,42.29,38.45,39.28,39.28,183667400
2016-12-01,39.56,40.74,38.06,39.47,39.47,115161500
2017-01-01,40.29,42.5,39.42,39.78,39.78,147980500
2017-02-01,39.96,43.07,39.02,42.0,42.0,126124700
2017-03-01,42.31,43.8,41.74,43.02,43.02,126880800
2017-04-01,43.2,48.1,42.06,47.72,47.72,137436600
2017-05-01,47.39,52.24,47.32,52.21,52.21,170709400
2017-06-01,52.48,55.14,50.83,53.67,53.67,194091700
2017-07-01,54.14,61.3,52.83,58.55,58.55,200636100
2017-08-01,59.0,62.03,57.58,61.68,61.68,137272000
2017-09-01,61.98,65.24,60.58,64.03,64.03,141785800
2017-10-01,64.5,72.74,63.69,72.56,72.56,216248200
2017-11-01,72.78,79.39,71.67,75.73,75.73,186858600
2017-12-01,75.22,76.44,68.61,73.62,73.62,170722100
2018-01-01,74.24,86.32,73.43,85.32,85.32,179904200
2018-02-01,79.95,82.17,71.63,79.41,79.41,247063900
2018-03-01,79.6,83.99,74.55,75.87,75.87,181284000
2018-04-01,75.23,80.89,72.52,74.61,74.61,163804800
2018-05-01,74.15,83.06,70.22,82.07,82.07,189831800
2018-06-01,82.55,87.55,80.16,83.27,83.27,160929900
2018-07-01,82.75,92.35,81.3,82.14,82.14,166503800
2018-08-01,82.24,93.01,82.01,92.33,92.33,140027800
2018-09-01,91.94,93.7,87.39,87.84,87.84,154501800
2018-10-01,88.13,88.8,74.66,84.19,84.19,304186000
2018-11-01,84.18,89.06,75.47,85.81,85.81,161845700
2018-12-01,87.29,88.84,76.7,84.09,84.09,180429800
2019-01-01,82.38,94.58,81.91,88.76,88.76,204038200
2019-02-01,88.36,98.53,88.25,98.07,98.07,131894700
2019-03-01,98.92,104.7,94.51,103.84,103.84,129775200
2019-04-01,104.99,110.92,102.65,110.56,110.56,137053500
2019-04-26,109.72,110.57,107.88,110.56,110.56,7683160
