Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.99,105.76,103.85,105.55,105.55,6157200
2019-04-02,105.76,105.76,104.66,105.23,105.23,4177400
2019-04-03,105.91,105.97,104.49,104.69,104.69,5442400
2019-04-04,104.7,104.97,102.65,104.46,104.46,7996800
2019-04-05,104.84,105.8,104.62,105.73,105.73,8573800
2019-04-08,105.66,107.0,104.67,106.57,106.57,9261800
2019-04-09,106.06,107.51,105.83,106.93,106.93,7217100
2019-04-10,107.15,107.77,106.39,107.51,107.51,6561800
2019-04-11,107.51,107.74,105.91,106.46,106.46,7681000
2019-04-12,107.03,108.54,106.41,108.48,108.48,6997700
2019-04-15,108.58,109.0,107.31,108.14,108.14,4480100
2019-04-16,108.8,108.8,107.58,108.2,108.2,3766100
2019-04-17,107.81,108.86,107.25,108.81,108.81,5353700
2019-04-18,108.36,108.45,105.08,107.36,107.36,10220700
2019-04-22,106.79,107.18,106.02,106.81,106.81,6408500
2019-04-23,107.1,107.51,106.44,106.9,106.9,8564200
2019-04-24,107.11,108.39,106.42,107.22,107.22,9553100
2019-04-25,108.52,110.92,108.52,110.22,110.22,10805600
