Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,69.0,78.05,63.02,73.87,73.87,39875400.0
2015-01-02,,,,,,
2015-02-01,73.08,74.0,63.17,69.4,69.4,28811300.0
2015-03-01,69.39,85.63,68.35,79.7,79.7,41217900.0
2015-04-01,78.53,79.3,65.44,65.91,65.91,31926000.0
2015-05-01,66.8,86.75,66.02,82.15,82.15,41420200.0
2015-06-01,82.5,88.35,77.6,80.27,80.27,97094600.0
2015-07-01,81.25,82.25,57.1,57.95,57.95,53436200.0
2015-08-01,57.52,59.68,45.0,54.74,54.74,63582300.0
2015-09-01,53.89,59.45,42.73,45.05,45.05,40584600.0
2015-10-01,44.46,51.62,42.24,43.93,43.93,33472700.0
2015-11-01,44.13,58.43,43.96,58.07,58.07,43237900.0
2015-12-01,58.31,60.0,49.48,50.9,50.9,29594400.0
2016-01-01,49.68,50.97,35.16,39.6,39.6,49745400.0
2016-02-01,39.45,46.64,33.3,45.08,45.08,42181700.0
2016-03-01,45.52,51.95,45.5,50.41,50.41,33886600.0
2016-04-01,50.15,51.27,43.97,45.03,45.03,26930700.0
2016-05-01,45.07,51.56,43.79,50.97,50.97,32194600.0
2016-06-01,50.65,58.3,50.25,55.26,55.26,36863300.0
2016-07-01,54.4,64.8,50.45,63.23,63.23,29942800.0
2016-08-01,63.5,64.48,52.46,57.43,57.43,46858600.0
2016-09-01,57.46,58.33,51.19,55.74,55.74,38176400.0
2016-10-01,55.4,57.49,52.6,55.65,55.65,23742900.0
2016-11-01,55.66,57.68,48.28,53.41,53.41,41917700.0
2016-12-01,53.41,59.12,49.53,52.73,52.73,27721100.0
2017-01-01,53.18,64.51,52.12,64.21,64.21,37280400.0
2017-02-01,65.15,68.66,61.12,66.1,66.1,33313400.0
2017-03-01,66.5,69.71,64.79,68.56,68.56,30000900.0
2017-04-01,68.56,72.42,67.06,68.03,68.03,28575300.0
2017-05-01,68.26,79.34,65.39,77.95,77.95,47631100.0
2017-06-01,78.07,79.11,63.03,63.32,63.32,39527200.0
2017-07-01,63.49,70.27,62.68,68.56,68.56,28836700.0
2017-08-01,68.67,73.66,64.7,73.22,73.22,27040100.0
2017-09-01,73.39,76.47,67.7,70.68,70.68,21865500.0
2017-10-01,70.84,77.06,69.12,75.81,75.81,21010100.0
2017-11-01,76.16,81.2,71.19,76.58,76.58,28584200.0
2017-12-01,76.09,76.3,64.53,66.6,66.6,34280300.0
2018-01-01,67.06,75.08,65.56,71.77,71.77,43578000.0
2018-02-01,79.32,85.24,74.11,80.71,80.71,50345700.0
2018-03-01,80.83,86.84,68.13,70.45,70.45,45911500.0
2018-04-01,70.07,73.83,66.3,67.4,67.4,30215000.0
2018-05-01,68.65,83.42,68.34,80.25,80.25,35253300.0
2018-06-01,80.63,86.5,78.42,80.17,80.17,26891700.0
2018-07-01,79.75,85.24,77.0,81.76,81.76,20392900.0
2018-08-01,82.66,86.5,78.12,80.09,80.09,28053900.0
2018-09-01,79.88,80.84,71.54,76.89,76.89,23576900.0
2018-10-01,77.19,78.69,68.0,73.51,73.51,27485100.0
2018-11-01,75.04,78.89,61.0,65.81,65.81,38749800.0
2018-12-01,67.68,68.53,56.33,60.73,60.73,25444600.0
2019-01-01,59.62,66.3,54.74,65.36,65.36,27077400.0
2019-02-01,65.47,70.68,59.56,70.14,70.14,29109100.0
2019-03-01,70.6,74.62,66.94,71.73,71.73,21503300.0
2019-04-01,72.62,78.98,72.55,74.99,74.99,22334600.0
2019-04-26,73.85,75.16,72.55,74.99,74.99,2006267.0
