Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,216.58,218.45,216.13,217.33,217.33,232000
2019-04-02,217.63,217.76,214.89,214.89,214.89,237900
2019-04-03,216.16,216.26,214.39,216.14,216.14,246800
2019-04-04,216.14,217.46,214.94,215.29,215.29,166900
2019-04-05,215.26,216.46,215.15,216.31,216.31,197400
2019-04-08,216.56,219.08,215.79,217.94,217.94,227200
2019-04-09,217.99,217.99,213.86,214.69,214.69,313300
2019-04-10,214.55,216.85,214.18,216.81,216.81,330100
2019-04-11,217.92,222.63,217.65,221.91,221.91,363300
2019-04-12,223.5,227.09,223.31,226.34,226.34,330500
2019-04-15,227.96,227.96,224.97,226.21,226.21,202700
2019-04-16,226.3,229.9,226.3,229.3,229.3,226700
2019-04-17,229.83,229.84,227.52,228.69,228.69,199400
2019-04-18,228.6,230.29,228.18,229.04,229.04,238900
2019-04-22,228.36,228.99,227.42,228.51,228.51,121700
2019-04-23,229.21,230.7,228.06,229.77,229.77,238500
2019-04-24,229.76,232.37,229.7,231.28,231.28,222500
2019-04-25,230.32,230.9,226.89,228.5,228.5,282900
