Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,67.51,67.98,66.52,67.68,67.68,694000
2019-04-02,67.85,67.92,66.72,67.66,67.66,1556200
2019-04-03,67.75,68.4,67.2,67.95,67.95,743800
2019-04-04,67.92,68.07,67.62,67.98,67.98,681600
2019-04-05,68.03,68.9,67.88,68.86,68.86,593200
2019-04-08,68.89,68.98,68.15,68.23,68.23,536400
2019-04-09,68.23,68.32,67.41,67.55,67.55,540900
2019-04-10,67.84,68.82,67.68,68.78,68.78,706800
2019-04-11,68.75,68.99,68.07,68.36,68.36,333500
2019-04-12,68.36,68.9,67.79,68.86,68.86,536600
2019-04-15,68.9,69.01,68.15,68.39,68.39,384900
2019-04-16,68.27,68.52,66.17,66.46,66.46,612000
2019-04-17,66.45,66.5,65.56,65.69,65.69,1211100
2019-04-18,65.8,66.59,65.58,66.38,66.38,752100
2019-04-22,66.05,66.34,64.02,64.64,64.64,918400
2019-04-23,64.94,66.01,64.68,65.97,65.97,582400
2019-04-24,66.16,67.05,65.94,66.94,66.94,509800
2019-04-25,66.66,67.63,66.23,67.42,67.42,640900
