Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,412.51,412.9,408.0,410.05,410.05,496500
2019-04-02,411.35,415.89,407.56,414.82,414.82,513000
2019-04-03,414.34,415.16,400.84,407.0,407.0,789300
2019-04-04,408.0,410.8,400.83,406.53,406.53,517300
2019-04-05,408.17,412.63,406.55,408.94,408.94,657400
2019-04-08,408.08,410.94,396.0,401.26,401.26,703800
2019-04-09,400.0,400.34,395.14,395.73,395.73,577700
2019-04-10,397.18,408.48,394.33,408.23,408.23,579700
2019-04-11,410.0,410.19,391.73,393.48,393.48,843500
2019-04-12,393.17,394.5,381.18,382.94,382.94,1254100
2019-04-15,382.81,385.99,375.2,375.5,375.5,811500
2019-04-16,377.9,383.0,366.36,367.69,367.69,1054900
2019-04-17,366.96,368.02,342.02,342.97,342.97,1978400
2019-04-18,346.4,347.55,332.22,333.34,333.34,1920400
2019-04-22,332.5,336.0,329.0,334.03,334.03,921700
2019-04-23,335.51,346.64,334.46,344.14,344.14,972700
2019-04-24,344.43,346.32,338.67,340.46,340.46,850700
2019-04-25,340.38,351.9,337.66,349.99,349.99,880500
