Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,48.59,51.29,47.72,50.12,50.12,24546900
2014-06-01,50.19,57.35,49.59,55.27,55.27,37294700
2014-07-01,55.44,58.34,53.76,58.12,58.12,27131800
2014-08-01,58.43,62.69,57.82,60.92,60.92,22010700
2014-09-01,61.12,61.98,54.85,56.15,56.15,37446400
2014-10-01,56.56,59.31,52.53,58.92,58.92,48524300
2014-11-01,58.93,63.69,58.66,62.15,62.15,28254300
2014-12-01,62.0,71.77,57.87,69.14,69.14,49846200
2015-01-01,69.44,70.28,63.68,63.79,63.79,32579200
2015-02-01,64.03,70.55,62.43,69.12,69.12,22306600
2015-03-01,69.0,77.82,65.0,75.75,75.75,40522400
2015-04-01,75.54,77.55,73.34,75.26,75.26,23002900
2015-05-01,75.22,79.35,74.23,77.27,77.27,20228900
2015-06-01,77.56,81.49,75.4,75.93,75.93,34514700
2015-07-01,76.65,81.01,75.58,79.08,79.08,22600800
2015-08-01,78.97,80.77,67.01,72.21,72.21,24771400
2015-09-01,70.77,74.5,68.36,71.88,71.88,34344000
2015-10-01,71.93,79.79,71.43,79.11,79.11,29759800
2015-11-01,79.12,83.0,77.45,81.41,81.41,26019100
2015-12-01,81.6,84.44,76.89,82.81,82.81,40467100
2016-01-01,81.68,82.53,66.45,70.05,70.05,38561100
2016-02-01,69.38,70.89,59.59,65.35,65.35,39490600
2016-03-01,66.25,76.19,65.43,74.51,74.51,36611400
2016-04-01,73.99,76.49,71.6,73.37,73.37,25555800
2016-05-01,73.45,77.56,70.07,77.46,77.46,21294200
2016-06-01,77.34,81.81,70.09,72.6,72.6,40163700
2016-07-01,72.55,75.39,70.73,75.29,75.29,28823800
2016-08-01,75.2,76.09,72.35,72.98,72.98,27647500
2016-09-01,72.5,82.73,71.52,80.83,80.83,46116500
2016-10-01,80.5,80.9,75.73,77.45,77.45,23528000
2016-11-01,77.45,80.49,74.44,79.11,79.11,23466200
2016-12-01,79.17,81.14,68.54,69.7,69.7,51163300
2017-01-01,70.12,77.18,69.39,75.88,75.88,38899300
2017-02-01,76.12,85.01,74.66,82.81,82.81,33064000
2017-03-01,83.47,87.91,80.93,86.5,86.5,50730300
2017-04-01,86.56,88.53,84.21,88.08,88.08,28124200
2017-05-01,88.28,90.01,84.16,89.57,89.57,27442200
2017-06-01,89.77,100.8,86.26,95.75,95.75,50040800
2017-07-01,96.23,101.73,94.47,98.87,98.87,21301200
2017-08-01,99.03,107.77,95.88,107.5,107.5,35649600
2017-09-01,107.82,113.73,104.51,110.86,110.86,36346200
2017-10-01,111.22,122.95,110.42,120.83,120.83,33616000
2017-11-01,121.3,129.61,120.16,126.76,126.76,25930000
2017-12-01,126.13,130.93,117.76,120.1,120.1,39835500
2018-01-01,121.04,135.77,119.57,131.38,131.38,33525000
2018-02-01,130.47,150.3,121.27,147.4,147.4,36225700
2018-03-01,147.7,167.36,143.31,149.51,149.51,45485000
2018-04-01,148.64,165.66,143.83,163.06,163.06,33720000
2018-05-01,162.5,173.58,159.62,162.42,162.42,37194000
2018-06-01,163.9,177.7,130.71,134.37,134.37,59994800
2018-07-01,133.07,150.94,132.32,141.23,141.23,43368700
2018-08-01,141.95,149.78,137.77,147.73,147.73,32148100
2018-09-01,147.01,152.99,132.29,136.28,136.28,46804700
2018-10-01,137.06,174.48,115.31,171.64,171.64,83213200
2018-11-01,171.2,179.49,171.0,178.56,178.56,59614900
2018-12-01,179.01,179.04,172.74,175.64,175.64,46776200
2019-01-01,174.91,178.12,173.53,177.84,177.84,43855400
2019-02-01,178.0,183.54,177.51,182.6,182.6,25954100
2019-03-01,182.9,183.14,180.3,182.7,182.7,27000900
2019-04-01,182.7,183.58,181.57,182.39,182.39,24203700
2019-04-26,182.3,182.54,182.28,182.39,182.39,926697
